index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary-class
133,"[35, 40[",Private,*,Bachelors,13,Married-civ-spouse,Sales, Husband,White,Male,0,0,50,North America, <=50K
136,"[40, 45[",Self-emp-not-inc,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,60,North America, <=50K
137,"[25, 30[",Private,*,Assoc-voc,11,Married-civ-spouse,Adm-clerical, Wife,White,Female,0,0,35,North America, <=50K
138,"[20, 25[",Private,*,Some-college,10,Never-married,Sales, Own-child,White,Male,0,0,20,North America, <=50K
139,"[45, 50[",Private,*,Some-college,10,Married-civ-spouse,Craft-repair, Husband,Asian-Pac-Islander,Male,0,0,40,North America, >50K
140,"[60, 65[",Self-emp-inc,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,40,North America, <=50K
141,"[25, 30[",Private,*,Some-college,10,Never-married,Sales, Own-child,White,Female,0,0,40,North America, <=50K
142,"[15, 20[",Private,*,Some-college,10,Never-married,Other-service, Own-child,White,Male,0,0,30,North America, <=50K
143,"[45, 50[",Private,*,Assoc-voc,11,Never-married,Prof-specialty, Not-in-family,White,Female,0,1564,40,North America, >50K
145,"[30, 35[",Private,*,HS-grad,9,Never-married,Transport-moving, Unmarried,Black,Female,0,0,30,North America, <=50K
146,"[20, 25[",Private,*,Some-college,10,Married-civ-spouse,Other-service, Husband,White,Male,0,0,24,North America, <=50K
147,"[35, 40[",Private,*,HS-grad,9,Widowed,Other-service, Unmarried,White,Female,0,0,24,North America, <=50K
148,"[60, 65[",Private,*,11th,7,Married-civ-spouse,Craft-repair, Husband,White,Male,0,2179,40,North America, <=50K
149,"[40, 45[",?,*,Some-college,10,Divorced,?, Not-in-family,White,Female,0,0,40,North America, <=50K
150,"[45, 50[",Local-gov,*,Some-college,10,Divorced,Adm-clerical, Unmarried,White,Female,0,0,38,North America, <=50K
151,"[30, 35[",Private,*,HS-grad,9,Never-married,Adm-clerical, Not-in-family,White,Female,0,0,40,North America, <=50K
152,"[30, 35[",Private,*,Bachelors,13,Never-married,Exec-managerial, Other-relative,Asian-Pac-Islander,Female,0,0,40,Asia, <=50K
153,"[20, 25[",Private,*,HS-grad,9,Never-married,Craft-repair, Own-child,White,Male,0,0,35,North America, <=50K
154,"[50, 55[",?,*,HS-grad,9,Divorced,?, Not-in-family,White,Male,0,0,45,North America, >50K
155,"[45, 50[",Private,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,46,North America, <=50K
156,"[20, 25[",Private,*,Bachelors,13,Never-married,Handlers-cleaners, Not-in-family,White,Male,0,0,40,North America, <=50K
158,"[25, 30[",Private,*,HS-grad,9,Divorced,Craft-repair, Not-in-family,White,Male,0,0,60,North America, <=50K
161,"[25, 30[",Private,*,HS-grad,9,Never-married,Other-service, Unmarried,White,Female,0,0,40,North America, <=50K
164,"[45, 50[",Self-emp-not-inc,*,Masters,14,Married-civ-spouse,Sales, Husband,White,Male,0,0,40,North America, >50K
165,"[35, 40[",Private,*,Some-college,10,Divorced,Other-service, Unmarried,White,Female,0,0,40,North America, <=50K
166,"[35, 40[",Federal-gov,*,Assoc-acdm,12,Never-married,Exec-managerial, Not-in-family,White,Male,0,0,42,North America, <=50K
168,"[15, 20[",Private,*,11th,7,Never-married,Handlers-cleaners, Own-child,White,Male,0,0,16,North America, <=50K
169,"[65, 70[",Local-gov,*,Assoc-voc,11,Widowed,Prof-specialty, Not-in-family,White,Female,0,0,20,North America, <=50K
170,"[25, 30[",Private,*,HS-grad,9,Never-married,Other-service, Not-in-family,White,Male,0,1980,40,North America, <=50K
171,"[25, 30[",State-gov,*,HS-grad,9,Married-civ-spouse,Protective-serv, Husband,White,Male,0,0,40,North America, <=50K
172,"[50, 55[",Private,*,Some-college,10,Married-civ-spouse,Sales, Husband,White,Male,0,1977,40,North America, >50K
173,"[25, 30[",Private,*,Bachelors,13,Never-married,Craft-repair, Not-in-family,White,Male,0,0,50,North America, <=50K
174,"[25, 30[",State-gov,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,40,North America, >50K
176,"[20, 25[",Private,*,HS-grad,9,Never-married,Craft-repair, Own-child,Black,Male,0,0,40,North America, <=50K
177,"[30, 35[",Private,*,HS-grad,9,Never-married,Handlers-cleaners, Not-in-family,Black,Male,0,0,40,North America, <=50K
178,"[15, 20[",Private,*,HS-grad,9,Never-married,Other-service, Own-child,White,Male,0,0,12,North America, <=50K
179,"[30, 35[",Private,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,65,North America, <=50K
180,"[40, 45[",Local-gov,*,Some-college,10,Married-civ-spouse,Exec-managerial, Husband,Black,Male,0,0,38,North America, >50K
181,"[40, 45[",Private,*,Some-college,10,Divorced,Adm-clerical, Not-in-family,White,Female,0,0,40,North America, <=50K
182,"[30, 35[",Private,*,Some-college,10,Never-married,Craft-repair, Not-in-family,Black,Male,0,0,45,North America, <=50K
183,"[40, 45[",Private,*,7th-8th,4,Married-civ-spouse,Machine-op-inspct, Husband,White,Male,0,0,40,North America, >50K
184,"[35, 40[",Federal-gov,*,Some-college,10,Married-civ-spouse,Adm-clerical, Husband,White,Male,0,0,42,North America, >50K
185,"[30, 35[",Private,*,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,Black,Male,0,0,40,North America, <=50K
186,"[40, 45[",Self-emp-not-inc,*,Bachelors,13,Divorced,Exec-managerial, Not-in-family,White,Female,0,0,40,North America, <=50K
188,"[30, 35[",Private,*,Masters,14,Married-civ-spouse,Prof-specialty, Wife,White,Female,0,0,50,North America, <=50K
189,"[55, 60[",State-gov,*,Doctorate,16,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,1,North America, >50K
190,"[35, 40[",Private,*,Some-college,10,Divorced,Machine-op-inspct, Not-in-family,Black,Female,0,0,28,North America, <=50K
191,"[20, 25[",Private,*,Some-college,10,Married-civ-spouse,Machine-op-inspct, Husband,White,Male,0,0,40,North America, <=50K
192,"[40, 45[",Local-gov,*,Bachelors,13,Married-civ-spouse,Craft-repair, Husband,Black,Male,0,0,40,North America, <=50K
193,"[45, 50[",Private,*,Some-college,10,Married-civ-spouse,Tech-support, Husband,White,Male,0,0,45,North America, <=50K
194,"[40, 45[",Federal-gov,*,Bachelors,13,Married-civ-spouse,Tech-support, Husband,White,Male,0,0,24,North America, <=50K
196,"[35, 40[",Private,*,Some-college,10,Divorced,Craft-repair, Not-in-family,White,Male,0,0,40,North America, <=50K
197,"[40, 45[",Federal-gov,*,Masters,14,Never-married,Exec-managerial, Not-in-family,White,Female,14084,0,55,North America, >50K
198,"[35, 40[",Private,*,Masters,14,Married-civ-spouse,Prof-specialty, Other-relative,White,Male,7298,0,40,North America, >50K
199,"[20, 25[",Self-emp-not-inc,*,HS-grad,9,Never-married,Sales, Not-in-family,White,Male,0,0,40,North America, <=50K
200,"[25, 30[",Private,*,Masters,14,Never-married,Prof-specialty, Not-in-family,White,Female,0,1876,40,North America, <=50K
201,"[15, 20[",?,*,HS-grad,9,Never-married,?, Own-child,White,Male,0,0,40,Europe, <=50K
202,"[50, 55[",Private,*,Bachelors,13,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,50,North America, >50K
203,"[40, 45[",Local-gov,*,Some-college,10,Never-married,Prof-specialty, Not-in-family,White,Female,0,1340,40,North America, <=50K
204,"[35, 40[",State-gov,*,HS-grad,9,Divorced,Adm-clerical, Unmarried,White,Female,0,0,35,North America, <=50K
205,"[15, 20[",Private,*,11th,7,Never-married,Sales, Own-child,White,Female,0,0,40,North America, <=50K
207,"[35, 40[",Private,*,HS-grad,9,Divorced,Craft-repair, Not-in-family,White,Male,0,0,60,North America, <=50K
208,"[55, 60[",Self-emp-inc,*,HS-grad,9,Married-civ-spouse,Sales, Wife,White,Female,15024,0,35,North America, >50K
209,"[15, 20[",Private,*,11th,7,Never-married,Sales, Own-child,White,Female,0,0,12,North America, <=50K
210,"[40, 45[",Local-gov,*,HS-grad,9,Married-civ-spouse,Transport-moving, Husband,Black,Male,0,0,40,North America, <=50K
211,"[35, 40[",Private,*,HS-grad,9,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,40,North America, >50K
214,"[50, 55[",Self-emp-inc,*,7th-8th,4,Married-civ-spouse,Machine-op-inspct, Husband,White,Male,0,0,40,North America, >50K
215,"[35, 40[",Private,*,Bachelors,13,Never-married,Exec-managerial, Not-in-family,Black,Male,0,0,60,North America, >50K
218,"[45, 50[",Private,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,55,North America, <=50K
219,"[25, 30[",Private,*,10th,6,Never-married,Craft-repair, Not-in-family,White,Male,0,0,40,North America, <=50K
220,"[30, 35[",Private,*,Some-college,10,Married-civ-spouse,Handlers-cleaners, Husband,White,Male,0,0,40,North America, <=50K
223,"[50, 55[",Private,*,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,Black,Male,0,0,20,North America, <=50K
225,"[15, 20[",Private,*,HS-grad,9,Never-married,Sales, Own-child,White,Female,0,0,40,North America, <=50K
227,"[65, 70[",Self-emp-not-inc,*,HS-grad,9,Married-civ-spouse,Farming-fishing, Husband,White,Male,1409,0,50,North America, <=50K
229,"[65, 70[",Private,*,HS-grad,9,Divorced,Adm-clerical, Not-in-family,White,Female,0,0,40,North America, <=50K
231,"[40, 45[",Private,*,HS-grad,9,Divorced,Sales, Unmarried,Black,Female,0,0,38,North America, <=50K
232,"[25, 30[",Private,*,Some-college,10,Never-married,Adm-clerical, Not-in-family,White,Male,0,0,42,North America, <=50K
234,"[25, 30[",Private,*,Prof-school,15,Never-married,Prof-specialty, Not-in-family,White,Male,0,0,55,North America, >50K
235,"[55, 60[",State-gov,*,HS-grad,9,Married-civ-spouse,Other-service, Husband,White,Male,0,0,40,North America, <=50K
236,"[40, 45[",State-gov,*,Some-college,10,Never-married,Adm-clerical, Not-in-family,White,Female,0,0,38,North America, <=50K
238,"[35, 40[",Local-gov,*,Masters,14,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,70,North America, >50K
239,"[20, 25[",Private,*,HS-grad,9,Never-married,Transport-moving, Own-child,White,Male,0,0,40,North America, <=50K
240,"[40, 45[",Private,*,Bachelors,13,Married-civ-spouse,Prof-specialty, Husband,White,Male,0,0,40,North America, >50K
241,"[40, 45[",Self-emp-not-inc,*,HS-grad,9,Married-civ-spouse,Other-service, Wife,White,Female,0,0,20,North America, <=50K
243,"[20, 25[",?,*,Some-college,10,Never-married,?, Own-child,White,Male,0,0,20,North America, <=50K
244,"[35, 40[",Private,*,Some-college,10,Divorced,Craft-repair, Not-in-family,White,Male,0,1741,40,North America, <=50K
246,"[55, 60[",Private,*,HS-grad,9,Married-civ-spouse,Adm-clerical, Husband,White,Male,0,0,45,North America, >50K
247,"[30, 35[",Private,*,HS-grad,9,Never-married,Other-service, Not-in-family,White,Female,0,0,34,North America, <=50K
248,"[40, 45[",Private,*,Assoc-acdm,12,Married-civ-spouse,Tech-support, Husband,White,Male,0,1977,60,North America, >50K
250,"[40, 45[",Private,*,Prof-school,15,Married-civ-spouse,Prof-specialty, Wife,White,Female,0,0,40,North America, >50K
253,"[15, 20[",Local-gov,*,Some-college,10,Never-married,Adm-clerical, Own-child,White,Male,0,0,40,North America, <=50K
255,"[40, 45[",Self-emp-not-inc,*,HS-grad,9,Married-civ-spouse,Farming-fishing, Husband,Asian-Pac-Islander,Male,0,0,40,Asia, >50K
256,"[20, 25[",Private,*,HS-grad,9,Never-married,Other-service, Own-child,White,Female,0,0,40,North America, <=50K
257,"[30, 35[",Private,*,HS-grad,9,Separated,Other-service, Not-in-family,White,Female,0,0,30,North America, <=50K
259,"[50, 55[",Private,*,7th-8th,4,Divorced,Craft-repair, Not-in-family,White,Male,0,0,40,North America, <=50K
260,"[35, 40[",Private,*,Bachelors,13,Divorced,Prof-specialty, Own-child,White,Female,0,0,40,North America, <=50K
261,"[45, 50[",Private,*,HS-grad,9,Married-civ-spouse,Sales, Husband,White,Male,0,0,60,North America, <=50K
262,"[15, 20[",Private,*,11th,7,Never-married,Other-service, Own-child,White,Male,0,0,12,North America, <=50K
263,"[55, 60[",Private,*,Some-college,10,Married-civ-spouse,Sales, Husband,White,Male,4064,0,40,North America, <=50K
264,"[25, 30[",Private,*,11th,7,Married-civ-spouse,Craft-repair, Husband,White,Male,0,0,40,North America, <=50K
266,"[15, 20[",?,*,Some-college,10,Never-married,?, Own-child,White,Male,0,0,24,North America, <=50K
267,"[60, 65[",Private,*,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,40,North America, >50K
268,"[30, 35[",Private,*,Bachelors,13,Never-married,Prof-specialty, Not-in-family,White,Female,0,0,45,North America, <=50K
269,"[30, 35[",Private,*,HS-grad,9,Married-civ-spouse,Craft-repair, Wife,White,Female,0,0,40,North America, >50K
270,"[60, 65[",Private,*,HS-grad,9,Married-civ-spouse,Exec-managerial, Husband,White,Male,0,0,40,North America, >50K
271,"[15, 20[",Private,*,9th,5,Never-married,Other-service, Own-child,White,Male,1055,0,24,North America, <=50K
273,"[25, 30[",Local-gov,*,Masters,14,Never-married,Prof-specialty, Own-child,White,Male,0,0,35,North America, <=50K
274,"[30, 35[",Private,*,HS-grad,9,Divorced,Prof-specialty, Own-child,White,Female,0,0,40,North America, <=50K
