age,balance,education,job,marital,month,previous,y
26,82,secondary,admin.,single,may,0,no
52,271,tertiary,management,married,may,0,no
54,1378,secondary,technician,married,may,0,no
54,184,tertiary,admin.,married,may,0,yes
50,0,primary,blue-collar,married,may,0,no
35,0,secondary,blue-collar,married,may,0,no
44,1357,secondary,services,married,may,0,no
53,19,unknown,entrepreneur,married,may,0,no
35,434,primary,retired,single,may,0,no
60,92,secondary,admin.,divorced,may,0,no
53,1151,secondary,admin.,divorced,may,0,no
48,41,secondary,unemployed,married,may,0,no
34,51,secondary,technician,married,may,0,no
54,214,secondary,services,married,may,0,no
51,1161,secondary,management,married,may,0,no
31,37,tertiary,services,married,may,0,no
35,787,secondary,technician,divorced,may,0,no
35,59,secondary,services,married,may,0,no
38,253,secondary,technician,married,may,0,no
36,211,tertiary,admin.,married,may,0,no
58,235,primary,retired,married,may,0,no
40,4384,unknown,services,divorced,may,0,no
54,4080,secondary,management,married,may,0,no
34,53,secondary,blue-collar,single,may,0,no
31,0,tertiary,management,single,may,0,no
51,2127,secondary,retired,married,may,0,no
33,377,tertiary,management,married,may,0,no
55,73,tertiary,management,married,may,0,no
42,445,secondary,admin.,married,may,0,no
34,243,secondary,blue-collar,married,may,0,no
33,307,secondary,blue-collar,single,may,0,no
38,155,secondary,services,married,may,0,no
50,173,tertiary,technician,divorced,may,0,no
43,400,tertiary,management,married,may,0,no
61,1428,primary,blue-collar,divorced,may,0,no
47,219,secondary,admin.,married,may,0,no
48,7,tertiary,self-employed,married,may,0,no
44,575,secondary,blue-collar,married,may,0,no
35,298,unknown,student,single,may,0,no
35,0,secondary,services,married,may,0,no
50,5699,secondary,services,married,may,0,no
41,176,tertiary,management,married,may,0,no
41,517,tertiary,management,married,may,0,no
39,257,unknown,services,single,may,0,no
42,56,secondary,retired,married,may,0,no
38,-390,secondary,blue-collar,married,may,0,no
53,330,secondary,retired,married,may,0,no
59,195,primary,housemaid,divorced,may,0,no
36,301,secondary,services,married,may,0,no
54,-41,primary,blue-collar,married,may,0,no
40,483,tertiary,technician,married,may,0,no
47,28,unknown,unknown,married,may,0,no
53,13,unknown,unemployed,married,may,0,no
46,965,primary,housemaid,married,may,0,no
39,378,tertiary,management,married,may,0,no
40,219,secondary,unemployed,married,may,0,no
28,324,primary,blue-collar,married,may,0,no
35,-69,secondary,entrepreneur,divorced,may,0,no
55,0,secondary,retired,married,may,0,no
43,205,unknown,technician,divorced,may,0,no
48,278,primary,blue-collar,married,may,0,no
58,1065,unknown,management,married,may,0,no
33,34,tertiary,management,single,may,0,no
36,1033,unknown,blue-collar,married,may,0,no
53,1467,secondary,services,divorced,may,0,no
47,-12,primary,blue-collar,married,may,0,no
31,388,secondary,services,married,may,0,no
57,294,secondary,entrepreneur,married,may,0,no
53,1827,unknown,blue-collar,married,may,0,no
55,627,primary,blue-collar,married,may,0,no
45,25,primary,blue-collar,married,may,0,no
53,315,secondary,admin.,divorced,may,0,no
37,0,primary,blue-collar,married,may,0,no
44,66,secondary,admin.,divorced,may,0,no
49,-9,primary,blue-collar,divorced,may,0,no
46,349,secondary,technician,married,may,0,no
43,100,unknown,entrepreneur,married,may,0,no
38,0,secondary,admin.,married,may,0,no
43,434,secondary,technician,married,may,0,no
49,3237,tertiary,management,married,may,0,no
42,275,unknown,management,married,may,0,no
22,0,secondary,blue-collar,single,may,0,no
40,207,tertiary,management,married,may,0,no
39,483,secondary,blue-collar,married,may,0,no
51,2248,secondary,services,married,may,0,no
49,428,secondary,admin.,married,may,0,no
53,0,secondary,blue-collar,married,may,0,no
34,0,secondary,services,single,may,0,no
33,140,secondary,technician,divorced,may,0,no
50,297,tertiary,management,single,may,0,no
39,279,primary,blue-collar,married,may,0,no
59,901,secondary,entrepreneur,divorced,may,0,no
30,2573,secondary,technician,single,may,0,no
36,143,secondary,services,married,may,0,no
40,475,secondary,blue-collar,married,may,0,no
53,70,secondary,blue-collar,married,may,0,no
34,318,tertiary,management,single,may,0,no
37,275,secondary,technician,married,may,0,no
42,742,tertiary,management,divorced,may,0,no
41,236,primary,entrepreneur,married,may,0,no
30,25,tertiary,student,single,may,0,no
37,600,tertiary,management,single,may,0,no
39,-349,secondary,admin.,divorced,may,0,no
41,183,primary,blue-collar,married,may,0,no
40,0,primary,blue-collar,married,may,0,no
42,0,tertiary,management,single,may,0,yes
40,0,primary,blue-collar,divorced,may,0,no
57,1078,secondary,technician,married,may,0,no
56,155,secondary,entrepreneur,divorced,may,0,no
37,190,secondary,admin.,married,may,0,no
59,319,secondary,retired,married,may,0,no
39,-185,secondary,services,divorced,may,0,no
49,47,secondary,services,married,may,0,no
38,570,secondary,services,single,may,0,no
36,19,tertiary,self-employed,married,may,0,no
50,61,primary,blue-collar,married,may,0,no
41,-62,secondary,admin.,married,may,0,no
54,258,tertiary,technician,married,may,0,no
58,76,primary,blue-collar,married,may,0,no
30,0,secondary,blue-collar,single,may,0,no
33,352,secondary,admin.,single,may,0,no
47,368,secondary,admin.,married,may,0,no
50,339,tertiary,technician,single,may,0,no
32,1331,secondary,blue-collar,married,may,0,no
40,672,secondary,self-employed,married,may,0,no
37,58,tertiary,management,married,may,0,no
54,447,unknown,technician,single,may,0,no
24,423,secondary,student,single,may,0,no
54,0,tertiary,management,married,may,0,no
34,19,secondary,technician,married,may,0,no
56,13,primary,technician,divorced,may,0,no
31,3,secondary,blue-collar,single,may,0,no
24,82,secondary,student,single,may,0,no
42,28,primary,blue-collar,divorced,may,0,no
57,792,secondary,technician,married,may,0,no
42,408,unknown,blue-collar,married,may,0,no
51,531,secondary,admin.,married,may,0,no
57,211,secondary,retired,married,may,0,no
36,62,secondary,services,single,may,0,no
53,257,unknown,services,married,may,0,no
50,1234,secondary,technician,married,may,0,no
54,313,tertiary,management,married,may,0,no
55,89,secondary,blue-collar,married,may,0,no
44,129,secondary,blue-collar,married,may,0,no
43,0,unknown,management,married,may,0,no
56,353,secondary,admin.,married,may,0,no
54,851,unknown,technician,married,may,0,no
55,96,primary,services,divorced,may,0,no
37,398,secondary,services,divorced,may,0,no
33,193,tertiary,admin.,single,may,0,no
46,-358,secondary,admin.,married,may,0,no
36,539,secondary,blue-collar,married,may,0,no
51,0,secondary,technician,single,may,0,no
40,0,primary,retired,single,may,0,no
42,490,secondary,blue-collar,married,may,0,no
51,0,secondary,blue-collar,married,may,0,no
49,403,unknown,blue-collar,married,may,0,no
48,161,secondary,management,married,may,0,no
32,2558,tertiary,technician,divorced,may,0,no
31,98,secondary,admin.,single,may,0,no
55,115,tertiary,management,single,may,0,no
40,436,secondary,blue-collar,single,may,0,no
47,831,tertiary,technician,married,may,0,no
57,206,unknown,technician,married,may,0,no
41,290,secondary,blue-collar,married,may,0,no
48,1,secondary,blue-collar,married,may,0,no
42,57,unknown,blue-collar,married,may,0,no
30,-457,secondary,blue-collar,single,may,0,no
58,1387,tertiary,management,single,may,0,no
45,24598,tertiary,management,divorced,may,0,no
49,30,secondary,blue-collar,married,may,0,no
42,1022,secondary,admin.,single,may,0,no
53,56,secondary,technician,married,may,0,no
51,-2,secondary,admin.,single,may,0,no
32,121,secondary,services,single,may,0,no
41,842,secondary,blue-collar,single,may,0,no
43,693,secondary,management,divorced,may,0,no
40,-333,secondary,blue-collar,divorced,may,0,no
50,1533,primary,blue-collar,married,may,0,no
34,46,tertiary,management,married,may,0,no
53,18,unknown,services,married,may,0,no
45,44,secondary,technician,married,may,0,no
39,-100,primary,blue-collar,married,may,0,no
44,510,tertiary,services,married,may,0,no
55,685,tertiary,management,married,may,0,no
46,187,tertiary,management,single,may,0,no
45,66,secondary,blue-collar,married,may,0,no
34,560,secondary,admin.,married,may,0,no
36,0,secondary,blue-collar,married,may,0,no
59,27,unknown,unknown,divorced,may,0,no
31,12,secondary,admin.,single,may,0,no
44,34,secondary,blue-collar,single,may,0,no
33,1068,tertiary,entrepreneur,single,may,0,no
40,211,secondary,blue-collar,married,may,0,no
46,377,tertiary,admin.,single,may,0,no
48,263,tertiary,management,married,may,0,no
42,1263,secondary,services,married,may,0,no
27,8,secondary,services,married,may,0,no
48,126,secondary,admin.,married,may,0,no
59,230,secondary,admin.,married,may,0,no
46,841,tertiary,technician,married,may,0,no
38,308,secondary,admin.,divorced,may,0,no
43,1,tertiary,management,divorced,may,0,no
38,86,tertiary,admin.,divorced,may,0,no
23,157,secondary,student,single,may,0,no
34,22,secondary,services,married,may,0,no
38,46,secondary,admin.,married,may,0,no
37,1293,secondary,blue-collar,married,may,0,no
25,122,secondary,admin.,single,may,0,no
48,131,unknown,blue-collar,married,may,0,no
49,143,secondary,blue-collar,single,may,0,no
38,393,secondary,admin.,single,may,0,no
43,98,primary,blue-collar,married,may,0,no
33,0,tertiary,management,married,may,0,no
55,224,secondary,blue-collar,married,may,0,no
38,757,secondary,blue-collar,married,may,0,no
49,245,secondary,services,married,may,0,no
40,8486,secondary,management,married,may,0,no
43,350,unknown,admin.,married,may,0,no
38,20,secondary,blue-collar,married,may,0,no
58,1667,secondary,services,married,may,0,no
57,345,unknown,technician,married,may,0,no
32,10,secondary,unemployed,married,may,0,no
56,830,tertiary,management,married,may,0,yes
58,29,unknown,blue-collar,divorced,may,0,no
60,545,secondary,retired,divorced,may,0,yes
37,8730,tertiary,technician,married,may,0,no
46,477,tertiary,technician,divorced,may,0,no
27,4,secondary,admin.,married,may,0,no
43,1205,secondary,blue-collar,married,may,0,no
32,0,secondary,technician,single,may,0,no
40,263,secondary,admin.,single,may,0,no
38,1,secondary,admin.,married,may,0,no
34,283,secondary,blue-collar,married,may,0,no
47,206,primary,blue-collar,married,may,0,no
42,17,primary,housemaid,married,may,0,no
48,141,secondary,technician,married,may,0,no
29,16,tertiary,self-employed,single,may,0,no
50,206,secondary,services,married,may,0,no
52,7,unknown,technician,married,may,0,no
50,0,tertiary,management,married,may,0,no
58,0,tertiary,retired,married,may,0,no
46,1927,primary,blue-collar,divorced,may,0,no
38,284,secondary,technician,married,may,0,no
46,1660,secondary,blue-collar,married,may,0,no
32,406,secondary,services,single,may,0,no
51,230,primary,blue-collar,married,may,0,no
39,-25,secondary,admin.,single,may,0,no
48,182,secondary,admin.,married,may,0,no
36,1169,tertiary,entrepreneur,married,may,0,no
34,67,secondary,admin.,divorced,may,0,no
40,77,secondary,technician,married,may,0,no
43,0,secondary,unemployed,married,may,0,no
52,55,primary,blue-collar,divorced,may,0,no
33,72,secondary,technician,married,may,0,no
49,163,tertiary,management,single,may,0,no
32,151,tertiary,management,single,may,0,no
39,113,secondary,admin.,single,may,0,no
40,0,secondary,blue-collar,married,may,0,no
38,9,tertiary,technician,single,may,0,no
43,375,secondary,management,married,may,0,no
39,1142,secondary,services,married,may,0,no
54,2102,primary,blue-collar,married,may,0,no
38,4325,tertiary,technician,single,may,0,no
40,217,secondary,blue-collar,married,may,0,no
55,131,secondary,admin.,married,may,0,no
42,1680,tertiary,management,married,may,0,no
39,0,secondary,blue-collar,married,may,0,no
40,46,primary,blue-collar,married,may,0,no
32,320,secondary,blue-collar,married,may,0,no
55,183,secondary,admin.,married,may,0,no
45,39,secondary,blue-collar,married,may,0,no
35,560,tertiary,management,single,may,0,no
58,469,secondary,technician,divorced,may,0,no
35,530,secondary,admin.,married,may,0,no
49,61,primary,services,married,may,0,no
34,242,tertiary,technician,single,may,0,no
36,139,secondary,blue-collar,married,may,0,no
24,0,secondary,self-employed,single,may,0,no
34,367,secondary,technician,married,may,0,no
51,228,secondary,admin.,divorced,may,0,no
39,45248,unknown,technician,single,may,0,yes
50,-84,unknown,self-employed,married,may,0,no
32,310,secondary,services,single,may,0,no
42,132,unknown,blue-collar,married,may,0,no
50,797,secondary,technician,married,may,0,no
40,71,secondary,services,married,may,0,no
46,2,unknown,management,divorced,may,0,no
37,231,tertiary,management,married,may,0,no
34,270,secondary,blue-collar,married,may,0,no
44,274,secondary,blue-collar,married,may,0,no
40,-109,secondary,admin.,single,may,0,no
37,1,secondary,technician,married,may,0,yes
33,-60,secondary,blue-collar,single,may,0,no
35,89,secondary,blue-collar,married,may,0,no
58,-11,secondary,blue-collar,divorced,may,0,no
39,0,primary,blue-collar,married,may,0,no
43,-509,secondary,blue-collar,married,may,0,no
39,408,primary,unemployed,married,may,0,no
36,58,primary,services,single,may,0,no
57,1640,secondary,retired,single,may,0,no
36,20,secondary,admin.,single,may,0,no
50,71,primary,blue-collar,married,may,0,no
55,52,secondary,blue-collar,married,may,0,no
44,292,tertiary,self-employed,married,may,0,no
44,424,secondary,services,divorced,may,0,no
39,109,primary,housemaid,single,may,0,no
46,1044,unknown,blue-collar,married,may,0,no
39,983,secondary,blue-collar,married,may,0,no
34,869,secondary,admin.,married,may,0,yes
40,668,primary,blue-collar,married,may,0,no
50,964,tertiary,management,married,may,0,no
31,301,secondary,management,single,may,0,no
37,140,secondary,admin.,single,may,0,no
39,1877,secondary,management,single,may,0,no
51,1127,primary,blue-collar,married,may,0,no
41,871,secondary,technician,married,may,0,no
41,767,secondary,technician,married,may,0,no
43,0,secondary,blue-collar,married,may,0,no
30,209,secondary,services,single,may,0,no
54,0,primary,management,divorced,may,0,no
43,110,secondary,blue-collar,divorced,may,0,no
59,-76,tertiary,management,divorced,may,0,no
47,178,unknown,technician,married,may,0,no
40,-66,primary,blue-collar,married,may,0,no
32,0,secondary,technician,married,may,0,no
29,1,secondary,blue-collar,married,may,0,no
36,0,secondary,blue-collar,married,may,0,no
55,5345,tertiary,unemployed,married,may,0,no
30,-209,secondary,blue-collar,divorced,may,0,no
39,0,secondary,admin.,single,may,0,no
39,42,secondary,blue-collar,divorced,may,0,no
50,41,secondary,blue-collar,divorced,may,0,no
44,-99,secondary,blue-collar,married,may,0,no
37,17,secondary,technician,single,may,0,no
46,276,primary,admin.,married,may,0,no
32,-170,unknown,technician,single,may,0,no
37,230,tertiary,management,single,may,0,no
29,9,secondary,blue-collar,married,may,0,no
41,946,secondary,blue-collar,married,may,0,no
45,1297,primary,blue-collar,married,may,0,no
57,-331,secondary,retired,divorced,may,0,no
48,44,secondary,blue-collar,single,may,0,no
60,15,secondary,retired,married,may,0,no
26,712,secondary,admin.,single,may,0,no
58,5435,secondary,retired,married,may,0,no
34,507,secondary,admin.,married,may,0,no
55,387,secondary,unemployed,divorced,may,0,yes
41,0,primary,blue-collar,married,may,0,no
50,1716,secondary,management,divorced,may,0,no
49,167,secondary,entrepreneur,married,may,0,no
44,40,unknown,admin.,married,may,0,no
44,148,primary,blue-collar,married,may,0,no
31,17,secondary,technician,married,may,0,no
34,1011,tertiary,blue-collar,single,may,0,no
46,1527,unknown,management,single,may,0,no
42,744,tertiary,management,married,may,0,no
52,484,secondary,admin.,married,may,0,no
29,0,tertiary,management,single,may,0,no
53,136,primary,retired,married,may,0,no
43,1335,secondary,blue-collar,married,may,0,no
38,517,secondary,management,married,may,0,no
46,459,tertiary,management,married,may,0,no
48,549,unknown,management,divorced,may,0,no
30,83,secondary,admin.,divorced,may,0,no
44,213,primary,blue-collar,married,may,0,no
31,203,primary,housemaid,married,may,0,no
42,518,secondary,services,single,may,0,no
40,3877,tertiary,management,single,may,0,no
52,1236,secondary,admin.,married,may,0,no
45,756,secondary,blue-collar,divorced,may,0,no
48,157,secondary,blue-collar,married,may,0,no
45,-66,primary,blue-collar,married,may,0,no
34,245,unknown,blue-collar,married,may,0,no
34,-144,primary,blue-collar,married,may,0,no
46,71,secondary,blue-collar,married,may,0,no
49,505,secondary,services,divorced,may,0,no
50,249,primary,technician,married,may,0,no
34,0,secondary,admin.,single,may,0,no
40,11,secondary,unemployed,single,may,0,no
36,639,secondary,admin.,married,may,0,no
59,124,unknown,blue-collar,divorced,may,0,no
45,82,secondary,blue-collar,married,may,0,no
36,107,tertiary,self-employed,married,may,0,no
56,473,secondary,services,married,may,0,no
42,372,secondary,services,divorced,may,0,no
30,46,secondary,admin.,married,may,0,no
30,34,tertiary,student,single,may,0,no
47,935,unknown,self-employed,married,may,0,no
33,-10,secondary,blue-collar,married,may,0,no
36,-106,secondary,admin.,married,may,0,no
39,471,primary,services,divorced,may,0,no
56,778,secondary,admin.,divorced,may,0,no
39,170,unknown,blue-collar,divorced,may,0,no
42,315,secondary,technician,married,may,0,no
52,3165,secondary,blue-collar,married,may,0,no
36,131,secondary,admin.,divorced,may,0,no
35,204,secondary,entrepreneur,married,may,0,no
47,83,secondary,technician,married,may,0,no
59,0,secondary,services,divorced,may,0,no
57,5431,primary,blue-collar,married,may,0,no
38,1759,unknown,management,married,may,0,no
46,-125,secondary,unemployed,married,may,0,no
34,0,secondary,blue-collar,married,may,0,no
28,5090,secondary,services,single,may,0,yes
38,573,unknown,technician,married,may,0,no
56,1602,secondary,blue-collar,married,may,0,no
41,-137,primary,blue-collar,single,may,0,no
52,0,unknown,technician,married,may,0,no
54,193,secondary,services,married,may,0,no
61,195,secondary,retired,married,may,0,no
53,288,secondary,entrepreneur,married,may,0,no
47,19,secondary,technician,married,may,0,no
53,25,primary,blue-collar,married,may,0,no
46,216,secondary,services,married,may,0,no
39,190,primary,blue-collar,divorced,may,0,no
56,99,secondary,technician,divorced,may,0,no
55,2298,primary,services,divorced,may,0,no
44,17,tertiary,management,married,may,0,no
37,0,primary,technician,married,may,0,no
35,0,primary,blue-collar,married,may,0,no
55,840,secondary,blue-collar,married,may,0,no
37,358,secondary,services,married,may,0,no
30,0,secondary,technician,single,may,0,no
37,-325,primary,blue-collar,married,may,0,no
36,-15,secondary,technician,single,may,0,no
38,581,secondary,technician,married,may,0,no
41,4070,primary,admin.,divorced,may,0,no
48,74,secondary,retired,married,may,0,no
55,141,secondary,services,divorced,may,0,no
28,89,secondary,services,divorced,may,0,no
54,0,secondary,services,married,may,0,no
30,450,secondary,blue-collar,married,may,0,no
48,310,tertiary,technician,married,may,0,no
31,0,secondary,self-employed,married,may,0,no
38,384,secondary,blue-collar,married,may,0,no
37,395,secondary,blue-collar,married,may,0,no
37,-118,unknown,services,single,may,0,no
56,5,primary,blue-collar,married,may,0,no
51,50,secondary,blue-collar,married,may,0,no
39,285,secondary,blue-collar,married,may,0,no
49,15,unknown,technician,married,may,0,no
51,653,primary,blue-collar,married,may,0,no
43,918,secondary,self-employed,married,may,0,no
32,243,secondary,services,married,may,0,no
29,405,tertiary,technician,single,may,0,no
48,1328,tertiary,management,divorced,may,0,no
55,255,primary,services,married,may,0,no
53,3397,secondary,blue-collar,married,may,0,no
47,2106,unknown,technician,married,may,0,no
39,2877,tertiary,management,married,may,0,no
31,60,tertiary,blue-collar,single,may,0,no
39,2226,primary,blue-collar,married,may,0,no
40,2880,primary,blue-collar,married,may,0,no
40,-5,unknown,technician,single,may,0,no
48,147,secondary,technician,married,may,0,no
33,7,secondary,technician,divorced,may,0,no
40,109,secondary,technician,married,may,0,no
59,-119,primary,retired,married,may,0,no
30,484,secondary,technician,married,may,0,yes
31,1852,tertiary,management,single,may,0,no
35,533,secondary,unemployed,married,may,0,no
54,21,secondary,technician,divorced,may,0,no
34,2434,unknown,admin.,single,may,0,no
32,90,secondary,technician,married,may,0,no
56,4246,unknown,admin.,divorced,may,0,no
32,395,tertiary,admin.,single,may,0,no
42,15,primary,blue-collar,married,may,0,no
33,85,tertiary,services,married,may,0,no
52,-184,tertiary,entrepreneur,married,may,0,no
52,660,secondary,services,married,may,0,no
52,-183,primary,blue-collar,divorced,may,0,no
30,1144,secondary,unemployed,divorced,may,0,no
44,1,secondary,services,divorced,may,0,no
35,69,secondary,admin.,married,may,0,no
55,220,secondary,management,single,may,0,no
33,332,primary,blue-collar,married,may,0,no
37,240,secondary,blue-collar,single,may,0,no
42,0,secondary,technician,single,may,0,no
43,0,secondary,unemployed,married,may,0,no
38,898,tertiary,entrepreneur,married,may,0,no
37,123,secondary,technician,married,may,0,no
31,252,secondary,student,single,may,0,no
41,65,tertiary,management,married,may,0,no
41,-366,secondary,technician,married,may,0,no
29,209,secondary,student,single,may,0,no
38,221,secondary,admin.,single,may,0,no
44,4,tertiary,self-employed,divorced,may,0,no
39,104,secondary,admin.,married,may,0,no
28,312,secondary,technician,single,may,0,no
33,-349,secondary,blue-collar,married,may,0,no
41,4,unknown,services,married,may,0,no
40,-322,primary,blue-collar,married,may,0,no
29,-150,secondary,admin.,married,may,0,no
38,1349,unknown,management,married,may,0,no
32,281,tertiary,admin.,married,may,0,no
45,1259,secondary,services,married,may,0,no
33,101,secondary,admin.,single,may,0,no
34,848,secondary,blue-collar,married,may,0,no
41,89,unknown,entrepreneur,married,may,0,no
41,140,secondary,blue-collar,married,may,0,no
35,148,secondary,admin.,single,may,0,no
40,200,secondary,technician,single,may,0,no
60,46,primary,self-employed,married,may,0,no
47,201,secondary,services,divorced,may,0,no
46,530,primary,blue-collar,married,may,0,no
31,0,secondary,blue-collar,single,may,0,no
49,1,secondary,self-employed,married,may,0,no
29,43,secondary,blue-collar,married,may,0,no
31,-173,tertiary,management,single,may,0,no
38,389,tertiary,management,married,may,0,no
37,215,primary,blue-collar,married,may,0,no
35,-131,secondary,technician,married,may,0,no
31,783,secondary,management,single,may,0,no
41,0,secondary,admin.,married,may,0,no
