-1,-1,-1,-1,-1,-1,*
84,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
85,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
86,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
87,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
88,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
89,"[80,90[","[80,100[","[80,120[","[80,160[",>=0,*
90,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
91,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
92,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
93,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
94,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
95,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
96,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
97,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
98,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
99,"[90,100[","[80,100[","[80,120[","[80,160[",>=0,*
100,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
101,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
102,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
103,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
104,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
105,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
106,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
107,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
108,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
109,"[100,110[","[100,120[","[80,120[","[80,160[",>=0,*
110,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
111,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
112,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
113,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
114,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
115,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
116,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
117,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
118,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
119,"[110,120[","[100,120[","[80,120[","[80,160[",>=0,*
120,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
121,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
122,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
123,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
124,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
125,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
126,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
127,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
128,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
129,"[120,130[","[120,140[","[120,160[","[80,160[",>=0,*
130,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
131,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
132,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
133,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
134,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
135,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
136,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
137,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
138,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
139,"[130,140[","[120,140[","[120,160[","[80,160[",>=0,*
140,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
141,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
142,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
143,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
144,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
145,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
146,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
147,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
148,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
149,"[140,150[","[140,160[","[120,160[","[80,160[",>=0,*
150,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
151,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
152,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
153,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
154,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
155,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
156,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
157,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
158,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
159,"[150,160[","[140,160[","[120,160[","[80,160[",>=0,*
160,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
161,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
162,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
163,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
164,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
165,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
166,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
167,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
168,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
169,"[160,170[","[160,180[","[160,200[","[160,200[",>=0,*
170,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
171,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
172,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
173,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
174,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
175,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
176,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
177,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
178,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
179,"[170,180[","[160,180[","[160,200[","[160,200[",>=0,*
180,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
181,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
182,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
183,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
184,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
185,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
186,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
187,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
188,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
189,"[180,190[","[180,200[","[160,200[","[160,200[",>=0,*
190,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
191,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
192,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
193,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
194,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
195,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
196,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
197,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
198,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
199,"[190,200[","[180,200[","[160,200[","[160,200[",>=0,*
200,>=200,>=200,>=200,>=200,>=0,*
201,>=200,>=200,>=200,>=200,>=0,*
202,>=200,>=200,>=200,>=200,>=0,*
203,>=200,>=200,>=200,>=200,>=0,*
204,>=200,>=200,>=200,>=200,>=0,*
205,>=200,>=200,>=200,>=200,>=0,*
206,>=200,>=200,>=200,>=200,>=0,*
207,>=200,>=200,>=200,>=200,>=0,*
208,>=200,>=200,>=200,>=200,>=0,*
209,>=200,>=200,>=200,>=200,>=0,*
210,>=200,>=200,>=200,>=200,>=0,*
211,>=200,>=200,>=200,>=200,>=0,*
212,>=200,>=200,>=200,>=200,>=0,*
213,>=200,>=200,>=200,>=200,>=0,*
214,>=200,>=200,>=200,>=200,>=0,*
215,>=200,>=200,>=200,>=200,>=0,*
216,>=200,>=200,>=200,>=200,>=0,*
217,>=200,>=200,>=200,>=200,>=0,*
218,>=200,>=200,>=200,>=200,>=0,*
219,>=200,>=200,>=200,>=200,>=0,*
220,>=200,>=200,>=200,>=200,>=0,*
221,>=200,>=200,>=200,>=200,>=0,*
222,>=200,>=200,>=200,>=200,>=0,*
223,>=200,>=200,>=200,>=200,>=0,*
224,>=200,>=200,>=200,>=200,>=0,*
225,>=200,>=200,>=200,>=200,>=0,*
226,>=200,>=200,>=200,>=200,>=0,*
227,>=200,>=200,>=200,>=200,>=0,*
228,>=200,>=200,>=200,>=200,>=0,*
229,>=200,>=200,>=200,>=200,>=0,*
230,>=200,>=200,>=200,>=200,>=0,*
231,>=200,>=200,>=200,>=200,>=0,*
232,>=200,>=200,>=200,>=200,>=0,*
233,>=200,>=200,>=200,>=200,>=0,*
234,>=200,>=200,>=200,>=200,>=0,*
235,>=200,>=200,>=200,>=200,>=0,*
236,>=200,>=200,>=200,>=200,>=0,*
237,>=200,>=200,>=200,>=200,>=0,*
238,>=200,>=200,>=200,>=200,>=0,*
239,>=200,>=200,>=200,>=200,>=0,*
240,>=200,>=200,>=200,>=200,>=0,*
241,>=200,>=200,>=200,>=200,>=0,*
242,>=200,>=200,>=200,>=200,>=0,*
243,>=200,>=200,>=200,>=200,>=0,*
244,>=200,>=200,>=200,>=200,>=0,*
245,>=200,>=200,>=200,>=200,>=0,*
246,>=200,>=200,>=200,>=200,>=0,*
247,>=200,>=200,>=200,>=200,>=0,*
248,>=200,>=200,>=200,>=200,>=0,*
249,>=200,>=200,>=200,>=200,>=0,*
250,>=200,>=200,>=200,>=200,>=0,*
251,>=200,>=200,>=200,>=200,>=0,*
252,>=200,>=200,>=200,>=200,>=0,*
253,>=200,>=200,>=200,>=200,>=0,*
254,>=200,>=200,>=200,>=200,>=0,*
255,>=200,>=200,>=200,>=200,>=0,*
256,>=200,>=200,>=200,>=200,>=0,*
257,>=200,>=200,>=200,>=200,>=0,*
258,>=200,>=200,>=200,>=200,>=0,*
259,>=200,>=200,>=200,>=200,>=0,*
260,>=200,>=200,>=200,>=200,>=0,*
261,>=200,>=200,>=200,>=200,>=0,*
262,>=200,>=200,>=200,>=200,>=0,*
263,>=200,>=200,>=200,>=200,>=0,*
264,>=200,>=200,>=200,>=200,>=0,*
265,>=200,>=200,>=200,>=200,>=0,*
266,>=200,>=200,>=200,>=200,>=0,*
267,>=200,>=200,>=200,>=200,>=0,*
268,>=200,>=200,>=200,>=200,>=0,*
269,>=200,>=200,>=200,>=200,>=0,*
270,>=200,>=200,>=200,>=200,>=0,*
271,>=200,>=200,>=200,>=200,>=0,*
272,>=200,>=200,>=200,>=200,>=0,*
273,>=200,>=200,>=200,>=200,>=0,*
274,>=200,>=200,>=200,>=200,>=0,*
275,>=200,>=200,>=200,>=200,>=0,*
