age,balance,contact,duration,education,job,marital,month,previous,y
35,59,unknown,1077,secondary,services,married,may,0,no
38,253,unknown,416,secondary,technician,married,may,0,no
36,211,unknown,146,tertiary,admin.,married,may,0,no
58,235,unknown,167,primary,retired,married,may,0,no
40,4384,unknown,315,unknown,services,divorced,may,0,no
54,4080,unknown,140,secondary,management,married,may,0,no
34,53,unknown,346,secondary,blue-collar,single,may,0,no
31,0,unknown,562,tertiary,management,single,may,0,no
51,2127,unknown,172,secondary,retired,married,may,0,no
33,377,unknown,217,tertiary,management,married,may,0,no
55,73,unknown,142,tertiary,management,married,may,0,no
42,445,unknown,67,secondary,admin.,married,may,0,no
34,243,unknown,291,secondary,blue-collar,married,may,0,no
33,307,unknown,309,secondary,blue-collar,single,may,0,no
38,155,unknown,248,secondary,services,married,may,0,no
50,173,unknown,98,tertiary,technician,divorced,may,0,no
43,400,unknown,256,tertiary,management,married,may,0,no
61,1428,unknown,82,primary,blue-collar,divorced,may,0,no
47,219,unknown,577,secondary,admin.,married,may,0,no
48,7,unknown,286,tertiary,self-employed,married,may,0,no
44,575,unknown,477,secondary,blue-collar,married,may,0,no
35,298,unknown,611,unknown,student,single,may,0,no
35,0,unknown,471,secondary,services,married,may,0,no
50,5699,unknown,381,secondary,services,married,may,0,no
41,176,unknown,42,tertiary,management,married,may,0,no
41,517,unknown,251,tertiary,management,married,may,0,no
39,257,unknown,408,unknown,services,single,may,0,no
42,56,unknown,215,secondary,retired,married,may,0,no
38,-390,unknown,287,secondary,blue-collar,married,may,0,no
53,330,unknown,216,secondary,retired,married,may,0,no
59,195,unknown,366,primary,housemaid,divorced,may,0,no
36,301,unknown,210,secondary,services,married,may,0,no
54,-41,unknown,288,primary,blue-collar,married,may,0,no
40,483,unknown,168,tertiary,technician,married,may,0,no
47,28,unknown,338,unknown,unknown,married,may,0,no
53,13,unknown,410,unknown,unemployed,married,may,0,no
46,965,unknown,177,primary,housemaid,married,may,0,no
39,378,unknown,127,tertiary,management,married,may,0,no
40,219,unknown,357,secondary,unemployed,married,may,0,no
28,324,unknown,175,primary,blue-collar,married,may,0,no
35,-69,unknown,300,secondary,entrepreneur,divorced,may,0,no
55,0,unknown,136,secondary,retired,married,may,0,no
43,205,unknown,1419,unknown,technician,divorced,may,0,no
48,278,unknown,125,primary,blue-collar,married,may,0,no
58,1065,unknown,213,unknown,management,married,may,0,no
33,34,unknown,27,tertiary,management,single,may,0,no
36,1033,unknown,238,unknown,blue-collar,married,may,0,no
53,1467,unknown,124,secondary,services,divorced,may,0,no
47,-12,unknown,18,primary,blue-collar,married,may,0,no
31,388,unknown,730,secondary,services,married,may,0,no
57,294,unknown,746,secondary,entrepreneur,married,may,0,no
53,1827,unknown,121,unknown,blue-collar,married,may,0,no
55,627,unknown,247,primary,blue-collar,married,may,0,no
45,25,unknown,40,primary,blue-collar,married,may,0,no
53,315,unknown,181,secondary,admin.,divorced,may,0,no
37,0,unknown,79,primary,blue-collar,married,may,0,no
44,66,unknown,206,secondary,admin.,divorced,may,0,no
49,-9,unknown,389,primary,blue-collar,divorced,may,0,no
46,349,unknown,127,secondary,technician,married,may,0,no
43,100,unknown,702,unknown,entrepreneur,married,may,0,no
38,0,unknown,151,secondary,admin.,married,may,0,no
43,434,unknown,117,secondary,technician,married,may,0,no
49,3237,unknown,232,tertiary,management,married,may,0,no
42,275,unknown,408,unknown,management,married,may,0,no
22,0,unknown,179,secondary,blue-collar,single,may,0,no
40,207,unknown,39,tertiary,management,married,may,0,no
39,483,unknown,282,secondary,blue-collar,married,may,0,no
51,2248,unknown,714,secondary,services,married,may,0,no
49,428,unknown,50,secondary,admin.,married,may,0,no
53,0,unknown,181,secondary,blue-collar,married,may,0,no
34,0,unknown,142,secondary,services,single,may,0,no
33,140,unknown,227,secondary,technician,divorced,may,0,no
50,297,unknown,119,tertiary,management,single,may,0,no
39,279,unknown,361,primary,blue-collar,married,may,0,no
59,901,unknown,73,secondary,entrepreneur,divorced,may,0,no
30,2573,unknown,67,secondary,technician,single,may,0,no
36,143,unknown,350,secondary,services,married,may,0,no
40,475,unknown,332,secondary,blue-collar,married,may,0,no
53,70,unknown,611,secondary,blue-collar,married,may,0,no
34,318,unknown,113,tertiary,management,single,may,0,no
37,275,unknown,132,secondary,technician,married,may,0,no
42,742,unknown,58,tertiary,management,divorced,may,0,no
41,236,unknown,151,primary,entrepreneur,married,may,0,no
30,25,unknown,89,tertiary,student,single,may,0,no
37,600,unknown,152,tertiary,management,single,may,0,no
39,-349,unknown,611,secondary,admin.,divorced,may,0,no
41,183,unknown,110,primary,blue-collar,married,may,0,no
40,0,unknown,463,primary,blue-collar,married,may,0,no
42,0,unknown,562,tertiary,management,single,may,0,yes
40,0,unknown,962,primary,blue-collar,divorced,may,0,no
57,1078,unknown,10,secondary,technician,married,may,0,no
56,155,unknown,118,secondary,entrepreneur,divorced,may,0,no
37,190,unknown,92,secondary,admin.,married,may,0,no
59,319,unknown,143,secondary,retired,married,may,0,no
39,-185,unknown,189,secondary,services,divorced,may,0,no
49,47,unknown,234,secondary,services,married,may,0,no
38,570,unknown,75,secondary,services,single,may,0,no
36,19,unknown,189,tertiary,self-employed,married,may,0,no
50,61,unknown,621,primary,blue-collar,married,may,0,no
41,-62,unknown,55,secondary,admin.,married,may,0,no
54,258,unknown,310,tertiary,technician,married,may,0,no
58,76,unknown,156,primary,blue-collar,married,may,0,no
30,0,unknown,5,secondary,blue-collar,single,may,0,no
33,352,unknown,225,secondary,admin.,single,may,0,no
47,368,unknown,125,secondary,admin.,married,may,0,no
50,339,unknown,2,tertiary,technician,single,may,0,no
32,1331,unknown,286,secondary,blue-collar,married,may,0,no
40,672,unknown,164,secondary,self-employed,married,may,0,no
37,58,unknown,98,tertiary,management,married,may,0,no
54,447,unknown,742,unknown,technician,single,may,0,no
24,423,unknown,226,secondary,student,single,may,0,no
54,0,unknown,120,tertiary,management,married,may,0,no
34,19,unknown,362,secondary,technician,married,may,0,no
56,13,unknown,357,primary,technician,divorced,may,0,no
31,3,unknown,200,secondary,blue-collar,single,may,0,no
24,82,unknown,204,secondary,student,single,may,0,no
42,28,unknown,126,primary,blue-collar,divorced,may,0,no
57,792,unknown,65,secondary,technician,married,may,0,no
42,408,unknown,107,unknown,blue-collar,married,may,0,no
51,531,unknown,267,secondary,admin.,married,may,0,no
57,211,unknown,248,secondary,retired,married,may,0,no
36,62,unknown,215,secondary,services,single,may,0,no
53,257,unknown,209,unknown,services,married,may,0,no
50,1234,unknown,205,secondary,technician,married,may,0,no
54,313,unknown,83,tertiary,management,married,may,0,no
55,89,unknown,106,secondary,blue-collar,married,may,0,no
44,129,unknown,189,secondary,blue-collar,married,may,0,no
43,0,unknown,105,unknown,management,married,may,0,no
56,353,unknown,106,secondary,admin.,married,may,0,no
54,851,unknown,108,unknown,technician,married,may,0,no
55,96,unknown,311,primary,services,divorced,may,0,no
37,398,unknown,214,secondary,services,divorced,may,0,no
33,193,unknown,132,tertiary,admin.,single,may,0,no
46,-358,unknown,358,secondary,admin.,married,may,0,no
36,539,unknown,453,secondary,blue-collar,married,may,0,no
51,0,unknown,364,secondary,technician,single,may,0,no
40,0,unknown,136,primary,retired,single,may,0,no
42,490,unknown,386,secondary,blue-collar,married,may,0,no
51,0,unknown,173,secondary,blue-collar,married,may,0,no
49,403,unknown,241,unknown,blue-collar,married,may,0,no
48,161,unknown,224,secondary,management,married,may,0,no
32,2558,unknown,148,tertiary,technician,divorced,may,0,no
31,98,unknown,196,secondary,admin.,single,may,0,no
55,115,unknown,111,tertiary,management,single,may,0,no
40,436,unknown,231,secondary,blue-collar,single,may,0,no
47,831,unknown,316,tertiary,technician,married,may,0,no
57,206,unknown,216,unknown,technician,married,may,0,no
41,290,unknown,240,secondary,blue-collar,married,may,0,no
48,1,unknown,669,secondary,blue-collar,married,may,0,no
42,57,unknown,425,unknown,blue-collar,married,may,0,no
30,-457,unknown,143,secondary,blue-collar,single,may,0,no
58,1387,unknown,174,tertiary,management,single,may,0,no
45,24598,unknown,313,tertiary,management,divorced,may,0,no
49,30,unknown,135,secondary,blue-collar,married,may,0,no
42,1022,unknown,146,secondary,admin.,single,may,0,no
53,56,unknown,152,secondary,technician,married,may,0,no
51,-2,unknown,402,secondary,admin.,single,may,0,no
32,121,unknown,213,secondary,services,single,may,0,no
41,842,unknown,144,secondary,blue-collar,single,may,0,no
43,693,unknown,124,secondary,management,divorced,may,0,no
40,-333,unknown,183,secondary,blue-collar,divorced,may,0,no
50,1533,unknown,325,primary,blue-collar,married,may,0,no
34,46,unknown,39,tertiary,management,married,may,0,no
53,18,unknown,503,unknown,services,married,may,0,no
45,44,unknown,95,secondary,technician,married,may,0,no
39,-100,unknown,680,primary,blue-collar,married,may,0,no
44,510,unknown,421,tertiary,services,married,may,0,no
55,685,unknown,174,tertiary,management,married,may,0,no
46,187,unknown,113,tertiary,management,single,may,0,no
45,66,unknown,808,secondary,blue-collar,married,may,0,no
34,560,unknown,198,secondary,admin.,married,may,0,no
36,0,unknown,195,secondary,blue-collar,married,may,0,no
59,27,unknown,347,unknown,unknown,divorced,may,0,no
31,12,unknown,208,secondary,admin.,single,may,0,no
44,34,unknown,404,secondary,blue-collar,single,may,0,no
33,1068,unknown,396,tertiary,entrepreneur,single,may,0,no
40,211,unknown,216,secondary,blue-collar,married,may,0,no
46,377,unknown,98,tertiary,admin.,single,may,0,no
48,263,unknown,350,tertiary,management,married,may,0,no
42,1263,unknown,114,secondary,services,married,may,0,no
27,8,unknown,88,secondary,services,married,may,0,no
48,126,unknown,379,secondary,admin.,married,may,0,no
59,230,unknown,190,secondary,admin.,married,may,0,no
46,841,unknown,158,tertiary,technician,married,may,0,no
38,308,unknown,102,secondary,admin.,divorced,may,0,no
43,1,unknown,306,tertiary,management,divorced,may,0,no
38,86,unknown,218,tertiary,admin.,divorced,may,0,no
23,157,unknown,54,secondary,student,single,may,0,no
34,22,unknown,344,secondary,services,married,may,0,no
38,46,unknown,195,secondary,admin.,married,may,0,no
37,1293,unknown,652,secondary,blue-collar,married,may,0,no
25,122,unknown,286,secondary,admin.,single,may,0,no
48,131,unknown,189,unknown,blue-collar,married,may,0,no
49,143,unknown,83,secondary,blue-collar,single,may,0,no
38,393,unknown,184,secondary,admin.,single,may,0,no
43,98,unknown,235,primary,blue-collar,married,may,0,no
33,0,unknown,290,tertiary,management,married,may,0,no
55,224,unknown,232,secondary,blue-collar,married,may,0,no
38,757,unknown,133,secondary,blue-collar,married,may,0,no
49,245,unknown,318,secondary,services,married,may,0,no
40,8486,unknown,260,secondary,management,married,may,0,no
43,350,unknown,437,unknown,admin.,married,may,0,no
38,20,unknown,402,secondary,blue-collar,married,may,0,no
58,1667,unknown,85,secondary,services,married,may,0,no
57,345,unknown,125,unknown,technician,married,may,0,no
32,10,unknown,501,secondary,unemployed,married,may,0,no
56,830,unknown,1201,tertiary,management,married,may,0,yes
58,29,unknown,253,unknown,blue-collar,divorced,may,0,no
60,545,unknown,1030,secondary,retired,divorced,may,0,yes
37,8730,unknown,149,tertiary,technician,married,may,0,no
46,477,unknown,114,tertiary,technician,divorced,may,0,no
27,4,unknown,243,secondary,admin.,married,may,0,no
43,1205,unknown,769,secondary,blue-collar,married,may,0,no
32,0,unknown,135,secondary,technician,single,may,0,no
40,263,unknown,231,secondary,admin.,single,may,0,no
38,1,unknown,76,secondary,admin.,married,may,0,no
34,283,unknown,199,secondary,blue-collar,married,may,0,no
47,206,unknown,152,primary,blue-collar,married,may,0,no
42,17,unknown,124,primary,housemaid,married,may,0,no
48,141,unknown,424,secondary,technician,married,may,0,no
29,16,unknown,43,tertiary,self-employed,single,may,0,no
50,206,unknown,154,secondary,services,married,may,0,no
52,7,unknown,203,unknown,technician,married,may,0,no
50,0,unknown,326,tertiary,management,married,may,0,no
58,0,unknown,393,tertiary,retired,married,may,0,no
46,1927,unknown,241,primary,blue-collar,divorced,may,0,no
38,284,unknown,483,secondary,technician,married,may,0,no
46,1660,unknown,259,secondary,blue-collar,married,may,0,no
32,406,unknown,227,secondary,services,single,may,0,no
51,230,unknown,673,primary,blue-collar,married,may,0,no
39,-25,unknown,576,secondary,admin.,single,may,0,no
48,182,unknown,180,secondary,admin.,married,may,0,no
36,1169,unknown,168,tertiary,entrepreneur,married,may,0,no
34,67,unknown,90,secondary,admin.,divorced,may,0,no
40,77,unknown,505,secondary,technician,married,may,0,no
43,0,unknown,245,secondary,unemployed,married,may,0,no
52,55,unknown,186,primary,blue-collar,divorced,may,0,no
33,72,unknown,623,secondary,technician,married,may,0,no
49,163,unknown,496,tertiary,management,single,may,0,no
32,151,unknown,118,tertiary,management,single,may,0,no
39,113,unknown,342,secondary,admin.,single,may,0,no
40,0,unknown,225,secondary,blue-collar,married,may,0,no
38,9,unknown,185,tertiary,technician,single,may,0,no
43,375,unknown,196,secondary,management,married,may,0,no
39,1142,unknown,276,secondary,services,married,may,0,no
54,2102,unknown,76,primary,blue-collar,married,may,0,no
38,4325,unknown,87,tertiary,technician,single,may,0,no
40,217,unknown,195,secondary,blue-collar,married,may,0,no
55,131,unknown,744,secondary,admin.,married,may,0,no
42,1680,unknown,765,tertiary,management,married,may,0,no
39,0,unknown,262,secondary,blue-collar,married,may,0,no
40,46,unknown,119,primary,blue-collar,married,may,0,no
32,320,unknown,198,secondary,blue-collar,married,may,0,no
55,183,unknown,150,secondary,admin.,married,may,0,no
45,39,unknown,241,secondary,blue-collar,married,may,0,no
35,560,unknown,181,tertiary,management,single,may,0,no
58,469,unknown,196,secondary,technician,divorced,may,0,no
35,530,unknown,149,secondary,admin.,married,may,0,no
49,61,unknown,246,primary,services,married,may,0,no
34,242,unknown,112,tertiary,technician,single,may,0,no
36,139,unknown,309,secondary,blue-collar,married,may,0,no
24,0,unknown,278,secondary,self-employed,single,may,0,no
34,367,unknown,140,secondary,technician,married,may,0,no
51,228,unknown,136,secondary,admin.,divorced,may,0,no
39,45248,unknown,1623,unknown,technician,single,may,0,yes
50,-84,unknown,101,unknown,self-employed,married,may,0,no
32,310,unknown,144,secondary,services,single,may,0,no
42,132,unknown,238,unknown,blue-collar,married,may,0,no
50,797,unknown,354,secondary,technician,married,may,0,no
40,71,unknown,79,secondary,services,married,may,0,no
46,2,unknown,187,unknown,management,divorced,may,0,no
37,231,unknown,451,tertiary,management,married,may,0,no
34,270,unknown,159,secondary,blue-collar,married,may,0,no
44,274,unknown,409,secondary,blue-collar,married,may,0,no
40,-109,unknown,170,secondary,admin.,single,may,0,no
37,1,unknown,608,secondary,technician,married,may,0,yes
33,-60,unknown,243,secondary,blue-collar,single,may,0,no
35,89,unknown,145,secondary,blue-collar,married,may,0,no
58,-11,unknown,112,secondary,blue-collar,divorced,may,0,no
39,0,unknown,262,primary,blue-collar,married,may,0,no
43,-509,unknown,124,secondary,blue-collar,married,may,0,no
39,408,unknown,53,primary,unemployed,married,may,0,no
36,58,unknown,134,primary,services,single,may,0,no
57,1640,unknown,204,secondary,retired,single,may,0,no
36,20,unknown,186,secondary,admin.,single,may,0,no
50,71,unknown,678,primary,blue-collar,married,may,0,no
55,52,unknown,182,secondary,blue-collar,married,may,0,no
44,292,unknown,162,tertiary,self-employed,married,may,0,no
44,424,unknown,27,secondary,services,divorced,may,0,no
39,109,unknown,699,primary,housemaid,single,may,0,no
46,1044,unknown,43,unknown,blue-collar,married,may,0,no
39,983,unknown,97,secondary,blue-collar,married,may,0,no
34,869,unknown,1677,secondary,admin.,married,may,0,yes
40,668,unknown,283,primary,blue-collar,married,may,0,no
50,964,unknown,323,tertiary,management,married,may,0,no
31,301,unknown,82,secondary,management,single,may,0,no
37,140,unknown,310,secondary,admin.,single,may,0,no
39,1877,unknown,185,secondary,management,single,may,0,no
51,1127,unknown,47,primary,blue-collar,married,may,0,no
41,871,unknown,145,secondary,technician,married,may,0,no
41,767,unknown,204,secondary,technician,married,may,0,no
43,0,unknown,187,secondary,blue-collar,married,may,0,no
30,209,unknown,30,secondary,services,single,may,0,no
54,0,unknown,472,primary,management,divorced,may,0,no
43,110,unknown,448,secondary,blue-collar,divorced,may,0,no
59,-76,unknown,264,tertiary,management,divorced,may,0,no
47,178,unknown,169,unknown,technician,married,may,0,no
40,-66,unknown,288,primary,blue-collar,married,may,0,no
32,0,unknown,176,secondary,technician,married,may,0,no
29,1,unknown,215,secondary,blue-collar,married,may,0,no
36,0,unknown,337,secondary,blue-collar,married,may,0,no
55,5345,unknown,278,tertiary,unemployed,married,may,0,no
30,-209,unknown,188,secondary,blue-collar,divorced,may,0,no
39,0,unknown,174,secondary,admin.,single,may,0,no
39,42,unknown,226,secondary,blue-collar,divorced,may,0,no
50,41,unknown,190,secondary,blue-collar,divorced,may,0,no
44,-99,unknown,111,secondary,blue-collar,married,may,0,no
37,17,unknown,164,secondary,technician,single,may,0,no
46,276,unknown,157,primary,admin.,married,may,0,no
32,-170,unknown,46,unknown,technician,single,may,0,no
37,230,unknown,374,tertiary,management,single,may,0,no
29,9,unknown,349,secondary,blue-collar,married,may,0,no
41,946,unknown,325,secondary,blue-collar,married,may,0,no
45,1297,unknown,233,primary,blue-collar,married,may,0,no
57,-331,unknown,531,secondary,retired,divorced,may,0,no
48,44,unknown,153,secondary,blue-collar,single,may,0,no
60,15,unknown,80,secondary,retired,married,may,0,no
26,712,unknown,232,secondary,admin.,single,may,0,no
58,5435,unknown,118,secondary,retired,married,may,0,no
34,507,unknown,190,secondary,admin.,married,may,0,no
55,387,unknown,918,secondary,unemployed,divorced,may,0,yes
41,0,unknown,238,primary,blue-collar,married,may,0,no
50,1716,unknown,82,secondary,management,divorced,may,0,no
49,167,unknown,198,secondary,entrepreneur,married,may,0,no
44,40,unknown,160,unknown,admin.,married,may,0,no
44,148,unknown,211,primary,blue-collar,married,may,0,no
31,17,unknown,120,secondary,technician,married,may,0,no
34,1011,unknown,136,tertiary,blue-collar,single,may,0,no
46,1527,unknown,269,unknown,management,single,may,0,no
42,744,unknown,157,tertiary,management,married,may,0,no
52,484,unknown,128,secondary,admin.,married,may,0,no
29,0,unknown,211,tertiary,management,single,may,0,no
53,136,unknown,267,primary,retired,married,may,0,no
