index,age,balance,education,job,marital,month,previous,y
64,"[45,50[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
65,"[50,55[","[0,10000[",tertiary,management,married,may,"[0,10[",no
66,"[60,65[","[0,10000[",tertiary,retired,married,may,"[0,10[",no
67,"[55,60[","[0,10000[",tertiary,management,divorced,may,"[0,10[",no
68,"[55,60[","[0,10000[",secondary,technician,married,may,"[0,10[",no
69,*,*,*,*,*,*,*,no
70,"[55,60[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
71,"[30,35[","[0,10000[",secondary,services,married,may,"[0,10[",no
72,"[50,55[","[0,10000[",secondary,management,married,may,"[0,10[",no
73,"[55,60[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
74,"[40,45[","[0,10000[",secondary,technician,married,may,"[0,10[",no
75,"[50,55[","[0,10000[",secondary,technician,married,may,"[0,10[",no
76,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
77,"[55,60[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
78,"[45,50[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
79,"[55,60[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
80,"[45,50[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
81,"[45,50[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
82,"[40,45[","[0,10000[",secondary,technician,single,may,"[0,10[",no
83,"[55,60[","[0,10000[",secondary,admin.,married,may,"[0,10[",yes
84,"[45,50[","[0,10000[",tertiary,self-employed,married,may,"[0,10[",no
85,"[50,55[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
86,"[55,60[","[0,10000[",secondary,admin.,married,may,"[0,10[",yes
87,"[40,45[","[0,10000[",secondary,technician,married,may,"[0,10[",yes
88,"[45,50[","[0,10000[",secondary,management,divorced,may,"[0,10[",no
89,"[55,60[","[0,10000[",secondary,retired,married,may,"[0,10[",no
90,"[40,45[","[0,10000[",secondary,management,single,may,"[0,10[",no
91,"[30,35[","[0,10000[",secondary,technician,married,may,"[0,10[",no
92,"[60,65[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
93,"[60,65[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
94,*,*,*,*,*,*,*,no
95,"[35,40[","[0,10000[",tertiary,management,married,may,"[0,10[",no
96,"[55,60[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
97,"[60,65[","[0,10000[",tertiary,retired,married,may,"[0,10[",no
98,"[35,40[","[0,10000[",secondary,technician,married,may,"[0,10[",no
99,"[45,50[","[0,10000[",tertiary,management,married,may,"[0,10[",no
100,"[40,45[","[-10000,0[",secondary,blue-collar,married,may,"[0,10[",no
101,"[50,55[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
102,"[50,55[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
103,"[55,60[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
104,"[25,30[","[0,10000[",tertiary,technician,single,may,"[0,10[",no
105,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
106,"[45,50[","[0,10000[",tertiary,technician,married,may,"[0,10[",no
107,"[30,35[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
108,*,*,*,*,*,*,*,no
109,"[45,50[","[0,10000[",tertiary,management,married,may,"[0,10[",no
110,"[25,30[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
111,"[45,50[","[0,10000[",secondary,technician,divorced,may,"[0,10[",no
112,*,*,*,*,*,*,*,no
113,"[35,40[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
114,"[55,60[","[0,10000[",primary,retired,divorced,may,"[0,10[",no
115,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
116,"[40,45[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
117,"[30,35[","[-10000,0[",tertiary,management,single,may,"[0,10[",no
118,"[55,60[","[0,10000[",tertiary,management,divorced,may,"[0,10[",no
119,"[55,60[","[0,10000[",primary,technician,married,may,"[0,10[",no
120,*,*,*,*,*,*,*,no
121,"[50,55[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
122,*,*,*,*,*,*,*,no
123,"[40,45[","[0,10000[",secondary,services,married,may,"[0,10[",no
124,"[50,55[","[0,10000[",tertiary,technician,married,may,"[0,10[",no
125,"[30,35[","[0,10000[",secondary,technician,single,may,"[0,10[",no
126,"[25,30[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
127,"[30,35[","[-10000,0[",secondary,services,married,may,"[0,10[",no
128,"[30,35[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
129,"[55,60[","[0,10000[",secondary,services,married,may,"[0,10[",yes
130,"[55,60[","[0,10000[",unknown,management,married,may,"[0,10[",no
131,"[30,35[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
132,"[35,40[","[0,10000[",secondary,technician,single,may,"[0,10[",no
133,"[55,60[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
134,"[25,30[","[0,10000[",tertiary,unemployed,single,may,"[0,10[",no
135,"[20,25[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
136,"[30,35[","[0,10000[",secondary,technician,single,may,"[0,10[",no
137,*,*,*,*,*,*,*,no
138,"[30,35[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
139,"[45,50[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
140,*,*,*,*,*,*,*,no
141,"[30,35[","[0,10000[",secondary,self-employed,single,may,"[0,10[",no
142,*,*,*,*,*,*,*,no
143,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
144,"[55,60[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
145,"[30,35[","[0,10000[",secondary,services,married,may,"[0,10[",no
146,"[55,60[","[0,10000[",primary,blue-collar,divorced,may,"[0,10[",no
147,"[45,50[","[0,10000[",secondary,unemployed,married,may,"[0,10[",no
148,"[40,45[","[0,10000[",primary,services,married,may,"[0,10[",no
149,"[50,55[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
150,*,*,*,*,*,*,*,no
151,"[25,30[","[0,10000[",secondary,student,single,may,"[0,10[",no
152,"[40,45[","[-10000,0[",tertiary,management,married,may,"[0,10[",no
153,"[35,40[","[0,10000[",secondary,management,married,may,"[0,10[",no
154,*,*,*,*,*,*,*,no
155,"[40,45[","[0,10000[",secondary,services,married,may,"[0,10[",no
156,"[50,55[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
157,"[60,65[","[0,10000[",secondary,retired,divorced,may,"[0,10[",no
158,"[50,55[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
159,"[45,50[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
160,"[45,50[","[0,10000[",unknown,services,married,may,"[0,10[",no
161,"[35,40[","[0,10000[",tertiary,technician,single,may,"[0,10[",no
162,"[45,50[","[0,10000[",secondary,services,single,may,"[0,10[",no
163,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
164,"[45,50[","[0,10000[",secondary,technician,married,may,"[0,10[",no
165,"[25,30[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
166,"[50,55[","[0,10000[",tertiary,management,married,may,"[0,10[",no
167,"[50,55[","[0,10000[",secondary,technician,married,may,"[0,10[",no
168,*,*,*,*,*,*,*,yes
169,"[50,55[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
170,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
171,"[40,45[","[0,10000[",secondary,services,married,may,"[0,10[",no
172,"[50,55[","[0,10000[",unknown,entrepreneur,married,may,"[0,10[",no
173,*,*,*,*,*,*,*,no
174,"[60,65[","[0,10000[",secondary,admin.,divorced,may,"[0,10[",no
175,"[50,55[","[0,10000[",secondary,admin.,divorced,may,"[0,10[",no
176,"[45,50[","[0,10000[",secondary,unemployed,married,may,"[0,10[",no
177,"[30,35[","[0,10000[",secondary,technician,married,may,"[0,10[",no
178,"[50,55[","[0,10000[",secondary,services,married,may,"[0,10[",no
179,"[50,55[","[0,10000[",secondary,management,married,may,"[0,10[",no
180,"[30,35[","[0,10000[",tertiary,services,married,may,"[0,10[",no
181,"[35,40[","[0,10000[",secondary,technician,divorced,may,"[0,10[",no
182,"[35,40[","[0,10000[",secondary,services,married,may,"[0,10[",no
183,"[35,40[","[0,10000[",secondary,technician,married,may,"[0,10[",no
184,"[35,40[","[0,10000[",tertiary,admin.,married,may,"[0,10[",no
185,"[55,60[","[0,10000[",primary,retired,married,may,"[0,10[",no
186,*,*,*,*,*,*,*,no
187,"[50,55[","[0,10000[",secondary,management,married,may,"[0,10[",no
188,"[30,35[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
189,"[30,35[","[0,10000[",tertiary,management,single,may,"[0,10[",no
190,"[50,55[","[0,10000[",secondary,retired,married,may,"[0,10[",no
191,"[30,35[","[0,10000[",tertiary,management,married,may,"[0,10[",no
192,"[55,60[","[0,10000[",tertiary,management,married,may,"[0,10[",no
193,"[40,45[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
194,"[30,35[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
195,"[30,35[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
196,"[35,40[","[0,10000[",secondary,services,married,may,"[0,10[",no
197,*,*,*,*,*,*,*,no
198,"[40,45[","[0,10000[",tertiary,management,married,may,"[0,10[",no
199,*,*,*,*,*,*,*,no
200,"[45,50[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
201,"[45,50[","[0,10000[",tertiary,self-employed,married,may,"[0,10[",no
202,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
203,*,*,*,*,*,*,*,no
204,"[35,40[","[0,10000[",secondary,services,married,may,"[0,10[",no
205,"[50,55[","[0,10000[",secondary,services,married,may,"[0,10[",no
206,"[40,45[","[0,10000[",tertiary,management,married,may,"[0,10[",no
207,"[40,45[","[0,10000[",tertiary,management,married,may,"[0,10[",no
208,*,*,*,*,*,*,*,no
209,"[40,45[","[0,10000[",secondary,retired,married,may,"[0,10[",no
210,"[35,40[","[-10000,0[",secondary,blue-collar,married,may,"[0,10[",no
211,"[50,55[","[0,10000[",secondary,retired,married,may,"[0,10[",no
212,*,*,*,*,*,*,*,no
213,"[35,40[","[0,10000[",secondary,services,married,may,"[0,10[",no
214,"[50,55[","[-10000,0[",primary,blue-collar,married,may,"[0,10[",no
215,"[40,45[","[0,10000[",tertiary,technician,married,may,"[0,10[",no
216,*,*,*,*,*,*,*,no
217,*,*,*,*,*,*,*,no
218,"[45,50[","[0,10000[",primary,housemaid,married,may,"[0,10[",no
219,"[35,40[","[0,10000[",tertiary,management,married,may,"[0,10[",no
220,"[40,45[","[0,10000[",secondary,unemployed,married,may,"[0,10[",no
221,"[25,30[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
222,*,*,*,*,*,*,*,no
223,"[55,60[","[0,10000[",secondary,retired,married,may,"[0,10[",no
224,*,*,*,*,*,*,*,no
225,"[45,50[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
226,"[55,60[","[0,10000[",unknown,management,married,may,"[0,10[",no
227,"[30,35[","[0,10000[",tertiary,management,single,may,"[0,10[",no
228,"[35,40[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
229,"[50,55[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
230,"[45,50[","[-10000,0[",primary,blue-collar,married,may,"[0,10[",no
231,"[30,35[","[0,10000[",secondary,services,married,may,"[0,10[",no
232,"[55,60[","[0,10000[",secondary,entrepreneur,married,may,"[0,10[",no
233,"[50,55[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
234,"[55,60[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
235,"[45,50[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
236,"[50,55[","[0,10000[",secondary,admin.,divorced,may,"[0,10[",no
237,"[35,40[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
238,"[40,45[","[0,10000[",secondary,admin.,divorced,may,"[0,10[",no
239,"[45,50[","[-10000,0[",primary,blue-collar,divorced,may,"[0,10[",no
240,"[45,50[","[0,10000[",secondary,technician,married,may,"[0,10[",no
241,*,*,*,*,*,*,*,no
242,"[35,40[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
243,"[40,45[","[0,10000[",secondary,technician,married,may,"[0,10[",no
244,"[45,50[","[0,10000[",tertiary,management,married,may,"[0,10[",no
245,"[40,45[","[0,10000[",unknown,management,married,may,"[0,10[",no
246,"[20,25[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
247,"[40,45[","[0,10000[",tertiary,management,married,may,"[0,10[",no
248,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
249,"[50,55[","[0,10000[",secondary,services,married,may,"[0,10[",no
250,"[45,50[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
251,"[50,55[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
252,"[30,35[","[0,10000[",secondary,services,single,may,"[0,10[",no
253,"[30,35[","[0,10000[",secondary,technician,divorced,may,"[0,10[",no
254,"[50,55[","[0,10000[",tertiary,management,single,may,"[0,10[",no
255,"[35,40[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
256,"[55,60[","[0,10000[",secondary,entrepreneur,divorced,may,"[0,10[",no
257,"[30,35[","[0,10000[",secondary,technician,single,may,"[0,10[",no
258,"[35,40[","[0,10000[",secondary,services,married,may,"[0,10[",no
259,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
260,"[50,55[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
261,"[30,35[","[0,10000[",tertiary,management,single,may,"[0,10[",no
262,"[35,40[","[0,10000[",secondary,technician,married,may,"[0,10[",no
263,"[40,45[","[0,10000[",tertiary,management,divorced,may,"[0,10[",no
264,"[40,45[","[0,10000[",primary,entrepreneur,married,may,"[0,10[",no
265,"[30,35[","[0,10000[",tertiary,student,single,may,"[0,10[",no
266,"[35,40[","[0,10000[",tertiary,management,single,may,"[0,10[",no
267,"[35,40[","[-10000,0[",secondary,admin.,divorced,may,"[0,10[",no
268,"[40,45[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
269,"[40,45[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
270,"[40,45[","[0,10000[",tertiary,management,single,may,"[0,10[",yes
271,"[40,45[","[0,10000[",primary,blue-collar,divorced,may,"[0,10[",no
272,"[55,60[","[0,10000[",secondary,technician,married,may,"[0,10[",no
273,"[55,60[","[0,10000[",secondary,entrepreneur,divorced,may,"[0,10[",no
274,"[35,40[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
275,"[55,60[","[0,10000[",secondary,retired,married,may,"[0,10[",no
276,"[35,40[","[-10000,0[",secondary,services,divorced,may,"[0,10[",no
277,"[45,50[","[0,10000[",secondary,services,married,may,"[0,10[",no
278,"[35,40[","[0,10000[",secondary,services,single,may,"[0,10[",no
279,"[35,40[","[0,10000[",tertiary,self-employed,married,may,"[0,10[",no
280,"[50,55[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
281,"[40,45[","[-10000,0[",secondary,admin.,married,may,"[0,10[",no
282,"[50,55[","[0,10000[",tertiary,technician,married,may,"[0,10[",no
283,"[55,60[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
284,"[30,35[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
285,"[30,35[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
286,"[45,50[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
287,"[50,55[","[0,10000[",tertiary,technician,single,may,"[0,10[",no
288,"[30,35[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
289,"[40,45[","[0,10000[",secondary,self-employed,married,may,"[0,10[",no
290,"[35,40[","[0,10000[",tertiary,management,married,may,"[0,10[",no
291,*,*,*,*,*,*,*,no
292,"[20,25[","[0,10000[",secondary,student,single,may,"[0,10[",no
293,"[50,55[","[0,10000[",tertiary,management,married,may,"[0,10[",no
294,"[30,35[","[0,10000[",secondary,technician,married,may,"[0,10[",no
295,*,*,*,*,*,*,*,no
296,"[30,35[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
297,"[20,25[","[0,10000[",secondary,student,single,may,"[0,10[",no
298,"[40,45[","[0,10000[",primary,blue-collar,divorced,may,"[0,10[",no
299,"[55,60[","[0,10000[",secondary,technician,married,may,"[0,10[",no
300,"[40,45[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
301,"[50,55[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
302,"[55,60[","[0,10000[",secondary,retired,married,may,"[0,10[",no
303,"[35,40[","[0,10000[",secondary,services,single,may,"[0,10[",no
304,"[50,55[","[0,10000[",unknown,services,married,may,"[0,10[",no
305,"[50,55[","[0,10000[",secondary,technician,married,may,"[0,10[",no
306,"[50,55[","[0,10000[",tertiary,management,married,may,"[0,10[",no
307,"[55,60[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
308,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
309,"[40,45[","[0,10000[",unknown,management,married,may,"[0,10[",no
310,"[55,60[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
311,"[50,55[","[0,10000[",unknown,technician,married,may,"[0,10[",no
312,"[55,60[","[0,10000[",primary,services,divorced,may,"[0,10[",no
313,"[35,40[","[0,10000[",secondary,services,divorced,may,"[0,10[",no
314,"[30,35[","[0,10000[",tertiary,admin.,single,may,"[0,10[",no
315,"[45,50[","[-10000,0[",secondary,admin.,married,may,"[0,10[",no
316,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
317,"[50,55[","[0,10000[",secondary,technician,single,may,"[0,10[",no
318,*,*,*,*,*,*,*,no
319,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
320,"[50,55[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
321,"[45,50[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
322,"[45,50[","[0,10000[",secondary,management,married,may,"[0,10[",no
323,"[30,35[","[0,10000[",tertiary,technician,divorced,may,"[0,10[",no
324,"[30,35[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
325,"[55,60[","[0,10000[",tertiary,management,single,may,"[0,10[",no
326,"[40,45[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
327,"[45,50[","[0,10000[",tertiary,technician,married,may,"[0,10[",no
328,"[55,60[","[0,10000[",unknown,technician,married,may,"[0,10[",no
329,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
330,"[45,50[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
331,"[40,45[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
332,"[30,35[","[-10000,0[",secondary,blue-collar,single,may,"[0,10[",no
333,"[55,60[","[0,10000[",tertiary,management,single,may,"[0,10[",no
334,*,*,*,*,*,*,*,no
335,"[45,50[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
336,"[40,45[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
337,"[50,55[","[0,10000[",secondary,technician,married,may,"[0,10[",no
338,*,*,*,*,*,*,*,no
339,"[30,35[","[0,10000[",secondary,services,single,may,"[0,10[",no
340,"[40,45[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
341,"[40,45[","[0,10000[",secondary,management,divorced,may,"[0,10[",no
342,"[40,45[","[-10000,0[",secondary,blue-collar,divorced,may,"[0,10[",no
343,"[50,55[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
344,"[30,35[","[0,10000[",tertiary,management,married,may,"[0,10[",no
345,"[50,55[","[0,10000[",unknown,services,married,may,"[0,10[",no
346,"[45,50[","[0,10000[",secondary,technician,married,may,"[0,10[",no
347,"[35,40[","[-10000,0[",primary,blue-collar,married,may,"[0,10[",no
348,*,*,*,*,*,*,*,no
349,"[55,60[","[0,10000[",tertiary,management,married,may,"[0,10[",no
350,"[45,50[","[0,10000[",tertiary,management,single,may,"[0,10[",no
351,"[45,50[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
352,"[30,35[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
353,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
354,*,*,*,*,*,*,*,no
355,"[30,35[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
356,"[40,45[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
357,"[30,35[","[0,10000[",tertiary,entrepreneur,single,may,"[0,10[",no
358,"[40,45[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
359,*,*,*,*,*,*,*,no
360,"[45,50[","[0,10000[",tertiary,management,married,may,"[0,10[",no
361,"[40,45[","[0,10000[",secondary,services,married,may,"[0,10[",no
362,"[25,30[","[0,10000[",secondary,services,married,may,"[0,10[",no
363,"[45,50[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
364,"[55,60[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
365,"[45,50[","[0,10000[",tertiary,technician,married,may,"[0,10[",no
366,"[35,40[","[0,10000[",secondary,admin.,divorced,may,"[0,10[",no
367,"[40,45[","[0,10000[",tertiary,management,divorced,may,"[0,10[",no
368,"[35,40[","[0,10000[",tertiary,admin.,divorced,may,"[0,10[",no
369,"[20,25[","[0,10000[",secondary,student,single,may,"[0,10[",no
370,"[30,35[","[0,10000[",secondary,services,married,may,"[0,10[",no
371,"[35,40[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
372,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
373,"[25,30[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
374,"[45,50[","[0,10000[",unknown,blue-collar,married,may,"[0,10[",no
375,"[45,50[","[0,10000[",secondary,blue-collar,single,may,"[0,10[",no
376,"[35,40[","[0,10000[",secondary,admin.,single,may,"[0,10[",no
377,"[40,45[","[0,10000[",primary,blue-collar,married,may,"[0,10[",no
378,"[30,35[","[0,10000[",tertiary,management,married,may,"[0,10[",no
379,"[55,60[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
380,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
381,"[45,50[","[0,10000[",secondary,services,married,may,"[0,10[",no
382,"[40,45[","[0,10000[",secondary,management,married,may,"[0,10[",no
383,"[40,45[","[0,10000[",unknown,admin.,married,may,"[0,10[",no
384,"[35,40[","[0,10000[",secondary,blue-collar,married,may,"[0,10[",no
385,"[55,60[","[0,10000[",secondary,services,married,may,"[0,10[",no
386,"[55,60[","[0,10000[",unknown,technician,married,may,"[0,10[",no
387,"[30,35[","[0,10000[",secondary,unemployed,married,may,"[0,10[",no
388,"[55,60[","[0,10000[",tertiary,management,married,may,"[0,10[",yes
389,"[55,60[","[0,10000[",unknown,blue-collar,divorced,may,"[0,10[",no
390,"[60,65[","[0,10000[",secondary,retired,divorced,may,"[0,10[",yes
391,"[35,40[","[0,10000[",tertiary,technician,married,may,"[0,10[",no
392,"[45,50[","[0,10000[",tertiary,technician,divorced,may,"[0,10[",no
393,"[25,30[","[0,10000[",secondary,admin.,married,may,"[0,10[",no
