index,age,workclass,education,marital_status,occupation,sex,income
96,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
97,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
98,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
99,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
100,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
101,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
102,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
103,*,*,*,*,*,*,<=50K
104,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
105,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
106,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
107,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
108,*,*,*,*,*,*,<=50K
109,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
110,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
111,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
112,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
113,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
114,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
115,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
116,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
117,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
118,*,*,*,*,*,*,>50K
119,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
120,*,*,*,*,*,*,>50K
121,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
122,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,>50K
123,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
124,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
125,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
126,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
127,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
128,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
129,*,*,*,*,*,*,>50K
130,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
131,*,*,*,*,*,*,<=50K
132,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
133,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
134,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
135,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
136,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
137,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
138,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
139,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
140,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
141,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
142,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
143,*,*,*,*,*,*,<=50K
144,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
145,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
146,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
147,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
148,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
149,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
150,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
151,*,*,*,*,*,*,<=50K
152,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
153,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
154,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
155,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
156,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
157,*,*,*,*,*,*,<=50K
158,*,*,*,*,*,*,<=50K
159,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
160,"[40, 80[",Government,Higher education,Spouse not present,Technical,Female,<=50K
161,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
162,*,*,*,*,*,*,<=50K
163,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
164,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
165,*,*,*,*,*,*,>50K
166,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
167,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
168,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
169,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
170,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
171,*,*,*,*,*,*,>50K
172,"[40, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
173,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
174,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
175,*,*,*,*,*,*,>50K
176,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
177,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
178,*,*,*,*,*,*,<=50K
179,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
180,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
181,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
182,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
183,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
184,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
185,*,*,*,*,*,*,<=50K
186,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
187,*,*,*,*,*,*,>50K
188,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
189,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
190,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
191,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
192,"[40, 80[",Government,Higher education,Spouse not present,Technical,Female,<=50K
193,*,*,*,*,*,*,<=50K
194,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
195,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,>50K
196,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
197,*,*,*,*,*,*,>50K
198,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
199,*,*,*,*,*,*,<=50K
200,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
201,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
202,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
203,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
204,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
205,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
206,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
207,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
208,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
209,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
210,*,*,*,*,*,*,<=50K
211,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
212,*,*,*,*,*,*,<=50K
213,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
214,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
215,"[40, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
216,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
217,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
218,"[40, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
219,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
220,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
221,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,>50K
222,*,*,*,*,*,*,<=50K
223,*,*,*,*,*,*,<=50K
224,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
225,*,*,*,*,*,*,>50K
226,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
227,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
228,*,*,*,*,*,*,<=50K
229,*,*,*,*,*,*,<=50K
230,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
231,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
232,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
233,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
234,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
235,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
236,*,*,*,*,*,*,>50K
237,*,*,*,*,*,*,<=50K
238,*,*,*,*,*,*,<=50K
239,*,*,*,*,*,*,<=50K
240,*,*,*,*,*,*,<=50K
241,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
242,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
243,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
244,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
245,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
246,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
247,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
248,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
249,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
250,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
251,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
252,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
253,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
254,*,*,*,*,*,*,>50K
255,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
256,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
257,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
258,*,*,*,*,*,*,<=50K
259,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
260,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
261,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
262,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
263,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
264,*,*,*,*,*,*,>50K
265,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
266,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
267,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
268,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
269,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
270,*,*,*,*,*,*,>50K
271,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
272,*,*,*,*,*,*,<=50K
273,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
274,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
275,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
276,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
277,*,*,*,*,*,*,<=50K
278,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
279,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
280,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
281,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
282,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
283,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
284,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
285,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
286,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
287,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
288,*,*,*,*,*,*,<=50K
289,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
290,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
291,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
292,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,>50K
293,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
294,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
295,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
296,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
297,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
298,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
299,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
300,*,*,*,*,*,*,<=50K
301,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
302,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
303,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
304,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
305,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
306,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
307,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
308,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
309,*,*,*,*,*,*,>50K
310,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
311,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
312,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
313,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
314,*,*,*,*,*,*,<=50K
315,*,*,*,*,*,*,<=50K
316,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
317,*,*,*,*,*,*,<=50K
318,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
319,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
320,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
321,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
322,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
323,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
324,*,*,*,*,*,*,>50K
325,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
326,*,*,*,*,*,*,<=50K
327,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
328,*,*,*,*,*,*,<=50K
329,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
330,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
331,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
332,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
333,*,*,*,*,*,*,<=50K
334,*,*,*,*,*,*,>50K
335,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
336,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
337,*,*,*,*,*,*,<=50K
338,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
339,*,*,*,*,*,*,<=50K
340,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
341,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
342,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
343,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
344,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
345,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
346,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
347,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,>50K
348,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
349,*,*,*,*,*,*,<=50K
350,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
351,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
352,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
353,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
354,*,*,*,*,*,*,<=50K
355,*,*,*,*,*,*,<=50K
356,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
357,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
358,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
359,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
360,*,*,*,*,*,*,<=50K
361,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
362,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
363,*,*,*,*,*,*,<=50K
364,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
365,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
366,*,*,*,*,*,*,>50K
367,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
368,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
369,*,*,*,*,*,*,>50K
370,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
371,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
372,*,*,*,*,*,*,>50K
373,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
374,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
375,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
376,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
377,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
378,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
379,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
380,*,*,*,*,*,*,>50K
381,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
382,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
383,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
384,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
385,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
386,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
387,*,*,*,*,*,*,<=50K
388,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
