level_0,index,age,workclass,education,marital_status,occupation,sex,income
46,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
47,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
48,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
50,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
53,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
54,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
56,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
57,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
58,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
59,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
60,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
61,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
62,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
63,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
64,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
66,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
67,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
68,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
69,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
70,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
71,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
72,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
73,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
74,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
76,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
77,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
79,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
80,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,>50K
81,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
83,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
84,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
86,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
87,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
88,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
92,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
93,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
94,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
96,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
97,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
98,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
99,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
100,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
101,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
102,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
104,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
105,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
106,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
107,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
109,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
110,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
111,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
112,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
113,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
114,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
115,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
116,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
117,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
118,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
119,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
121,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
122,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
123,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
124,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
125,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
126,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
127,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
128,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
129,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
130,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
132,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
133,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
134,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
135,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
136,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
137,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
138,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
139,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
140,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
141,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
142,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
144,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
145,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
146,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
147,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
148,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
149,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
150,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
151,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
152,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
153,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
154,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
155,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
156,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
159,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
161,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
163,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
164,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
165,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
166,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
167,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
168,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
169,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
170,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
172,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
173,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
174,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
176,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
177,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
179,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
180,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
181,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
182,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
183,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
184,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
186,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
188,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
189,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
190,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
191,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
194,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
195,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
196,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
198,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
200,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
201,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
202,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
203,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
204,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
205,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
206,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
207,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
208,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
209,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
211,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
213,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
214,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
215,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
216,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
217,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
218,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
219,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
220,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
221,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,>50K
224,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
226,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
227,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
230,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
231,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
232,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
233,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
234,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
235,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
240,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
241,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
242,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
243,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
244,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
245,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
246,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
247,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
248,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
249,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
250,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
251,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
252,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
253,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
255,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
256,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
257,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
259,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
260,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
261,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
262,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
263,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
265,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
266,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
267,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
268,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
269,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
271,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
272,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
273,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
274,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
275,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
276,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
278,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
279,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
280,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
281,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
282,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
283,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
284,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
285,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
286,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
287,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
289,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
290,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
291,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
292,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
293,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
294,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
295,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
296,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
297,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
298,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
299,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
301,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
302,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
303,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
304,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
305,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
306,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
307,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
308,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
310,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
311,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
312,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
313,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
314,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
316,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
318,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
319,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
320,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
321,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
322,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
323,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
325,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
327,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
328,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
329,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
330,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
331,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
332,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
335,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
336,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
338,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
340,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
341,*,"[0, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
342,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
343,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
344,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
345,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
346,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
347,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,>50K
348,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
350,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
351,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
352,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
353,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
356,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
357,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
358,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
359,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
361,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
362,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
364,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
365,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
367,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
368,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
370,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
371,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
373,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
374,*,"[0, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
375,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
376,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
377,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
378,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
379,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
381,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
382,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
383,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
384,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
385,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
386,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
388,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
389,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
390,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
391,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
392,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,>50K
394,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
397,*,"[0, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
398,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
400,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
401,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
402,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
404,*,"[0, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
405,*,"[0, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
406,*,"[0, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
407,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
409,*,"[0, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
