level_0,index,age,workclass,education,marital_status,occupation,sex,income
81,81,"[40, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
83,83,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
84,84,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
85,85,"[40, 80[",Government,Higher education,Spouse not present,Technical,Female,>50K
86,86,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
87,87,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
88,88,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
92,92,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
93,93,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
94,94,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
96,96,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
97,97,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
98,98,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
99,99,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
100,100,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
101,101,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
102,102,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
104,104,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
105,105,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
106,106,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
107,107,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
109,109,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
110,110,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
111,111,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
112,112,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
113,113,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
114,114,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
115,115,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
116,116,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
117,117,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
119,119,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
121,121,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
122,122,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,>50K
123,123,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
124,124,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
125,125,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
126,126,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
127,127,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
128,128,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
130,130,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
132,132,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
133,133,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
134,134,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
135,135,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
136,136,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
137,137,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
138,138,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
139,139,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
140,140,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
141,141,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
142,142,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
144,144,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
145,145,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
146,146,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
147,147,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
148,148,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
149,149,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
150,150,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
152,152,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
153,153,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
154,154,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
155,155,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
156,156,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
159,159,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
160,160,"[40, 80[",Government,Higher education,Spouse not present,Technical,Female,<=50K
161,161,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
163,163,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
164,164,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
166,166,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
167,167,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
168,168,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
169,169,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
170,170,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
172,172,"[40, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
173,173,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
174,174,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
176,176,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
177,177,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
179,179,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
180,180,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
181,181,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
182,182,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
183,183,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
184,184,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
186,186,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
188,188,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
189,189,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
190,190,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
191,191,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
192,192,"[40, 80[",Government,Higher education,Spouse not present,Technical,Female,<=50K
194,194,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
195,195,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,>50K
196,196,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
198,198,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
200,200,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
201,201,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
202,202,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
203,203,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,>50K
204,204,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
205,205,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
206,206,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
207,207,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
208,208,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
209,209,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
211,211,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
213,213,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
214,214,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
215,215,"[40, 80[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
216,216,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
217,217,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
218,218,"[40, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
219,219,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
220,220,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
221,221,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,>50K
224,224,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
226,226,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
227,227,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
230,230,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
231,231,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
232,232,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
233,233,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
234,234,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
235,235,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
241,241,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
242,242,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
243,243,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
244,244,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
245,245,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
246,246,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
247,247,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
248,248,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
249,249,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
250,250,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
251,251,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
252,252,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
253,253,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
255,255,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
256,256,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
257,257,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
259,259,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
260,260,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
261,261,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
262,262,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
263,263,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
265,265,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
266,266,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
267,267,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
268,268,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
269,269,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
271,271,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
273,273,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
274,274,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
275,275,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
276,276,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
278,278,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
279,279,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
280,280,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
281,281,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
282,282,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
283,283,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
284,284,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
285,285,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
286,286,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,>50K
287,287,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
289,289,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
290,290,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
291,291,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
292,292,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,>50K
293,293,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,>50K
294,294,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
295,295,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
296,296,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,>50K
297,297,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
298,298,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
299,299,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
301,301,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
302,302,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
303,303,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
304,304,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
305,305,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
306,306,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
307,307,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
308,308,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
310,310,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
311,311,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
312,312,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
313,313,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Male,<=50K
316,316,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
318,318,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
319,319,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
320,320,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
321,321,"[40, 80[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
322,322,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
323,323,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
325,325,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
327,327,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
329,329,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
330,330,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
331,331,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
332,332,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
335,335,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
336,336,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
338,338,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
340,340,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
341,341,"[40, 80[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
342,342,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,>50K
343,343,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
344,344,"[0, 40[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
345,345,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
346,346,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
347,347,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,>50K
348,348,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
350,350,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
351,351,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,>50K
352,352,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
353,353,"[40, 80[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
356,356,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
357,357,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
358,358,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
359,359,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
361,361,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
362,362,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
364,364,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
365,365,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
367,367,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
368,368,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
370,370,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
371,371,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
373,373,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
374,374,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,<=50K
375,375,"[40, 80[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
376,376,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
377,377,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
378,378,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
379,379,"[0, 40[",Non-Government,Higher education,Spouse not present,Other,Female,<=50K
381,381,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
382,382,"[0, 40[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,<=50K
383,383,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
384,384,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
385,385,"[40, 80[",Non-Government,Secondary education,Spouse present,Technical,Male,<=50K
386,386,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
388,388,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
389,389,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Female,<=50K
390,390,"[40, 80[",Non-Government,Higher education,Spouse present,Nontechnical,Male,>50K
392,392,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,>50K
394,394,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
397,397,"[0, 40[",Non-Government,Higher education,Spouse present,Nontechnical,Male,<=50K
398,398,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
400,400,"[0, 40[",Non-Government,Secondary education,Spouse not present,Other,Male,<=50K
401,401,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Female,<=50K
402,402,"[0, 40[",Non-Government,Secondary education,Spouse present,Other,Male,<=50K
404,404,"[0, 40[",Non-Government,Secondary education,Spouse not present,Nontechnical,Male,<=50K
405,405,"[40, 80[",Non-Government,Secondary education,Spouse present,Nontechnical,Male,>50K
406,406,"[40, 80[",Government,Higher education,Spouse present,Technical,Male,<=50K
407,407,"[40, 80[",Non-Government,Higher education,Spouse not present,Technical,Female,<=50K
409,409,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
410,410,"[0, 40[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
413,413,"[0, 40[",Non-Government,Higher education,Spouse present,Other,Male,<=50K
415,415,"[0, 40[",Non-Government,Higher education,Spouse not present,Technical,Male,<=50K
416,416,"[40, 80[",Non-Government,Secondary education,Spouse not present,Other,Female,<=50K
418,418,"[40, 80[",Non-Government,Higher education,Spouse present,Technical,Male,>50K
419,419,"[0, 40[",Non-Government,Secondary education,Spouse not present,Technical,Male,<=50K
420,420,"[0, 40[",Non-Government,Higher education,Spouse not present,Nontechnical,Male,<=50K
421,421,"[40, 80[",Non-Government,Secondary education,Spouse not present,Nontechnical,Female,<=50K
