k,model,LM,MD,accuracy,f1_0,f1_1,macro_avg_f1,macro_avg_precision,macro_avg_recall,precision_0,precision_1,recall_0,recall_1,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall
1,forest,0,0.0,0.816874930885768,0.8950038042099924,0.2843560933448574,0.5896799487774249,0.5841625537090643,0.5974357047062486,0.906382432258893,0.2619426751592357,0.8839073262366938,0.31096408317580343,0.8235601153793706,0.8309851898601938,0.816874930885768
2,forest,106093,31662.8056,0.7475395333407056,0.8466447235843353,0.28633948108783996,0.5664921023360876,0.563493702655892,0.6110610277067232,0.9130686757461606,0.21391872956562355,0.7892298058860363,0.43289224952741023,0.7810909309755448,0.8312705287751324,0.7475395333407056
4,forest,148709,34504.5889,0.7060709941391131,0.8147477000278784,0.28892455858747995,0.5518361293076792,0.5600421982496757,0.6211972353645125,0.9185918591859186,0.20149253731343283,0.7319974953036944,0.5103969754253308,0.7532281950357362,0.8346936967905753,0.7060709941391131
8,forest,171976,40786.9258,0.6864978436359616,0.7977744489621228,0.3029259896729776,0.5503502193175502,0.5657338006971242,0.6412718554283611,0.9267484255883328,0.2047191758059156,0.7003130870381966,0.5822306238185255,0.7398788755984255,0.8422734785276452,0.6864978436359616
16,forest,205556,47661.1028,0.631980537432268,0.7541371158392435,0.26857142857142857,0.511354272205336,0.5472226658849948,0.6083516115400687,0.9194739686542965,0.174971363115693,0.6391984971822167,0.5775047258979206,0.6973275949800875,0.8323697160102799,0.631980537432268
32,forest,228506,52677.2274,0.5936083158243946,0.7193585337915235,0.26367461430575034,0.4915165740486369,0.5445122136291692,0.6058920731570182,0.9217221135029354,0.167302313755403,0.5898559799624296,0.6219281663516069,0.6660450773261969,0.8334575831332695,0.5936083158243946
64,forest,254101,63777.3726,0.5691695233882561,0.697092209609703,0.2542113323124043,0.4756517709610536,0.5392990661979363,0.5945134603752547,0.9192126307156039,0.15938550168026885,0.5614276768941766,0.6275992438563327,0.6452766651907554,0.8303154613559462,0.5691695233882561
128,forest,293020,74993.6829,0.5682848612186221,0.6959975081762966,0.2555301296720061,0.4757638189241513,0.5400863157395638,0.596472355420667,0.9201152975087502,0.16005733397037744,0.5596743894802755,0.6332703213610587,0.6444643348424981,0.831191121303553,0.5682848612186221
256,forest,317096,78544.4274,0.5689483578458476,0.6982037782595231,0.2460348162475822,0.4721192972535526,0.5345441213256559,0.5829089987961833,0.9144189819509227,0.1546692607003891,0.5646837820914214,0.6011342155009451,0.645301559769129,0.8255308690367279,0.5689483578458476
512,forest,340180,88759.1683,0.5362158575693907,0.6651764330193198,0.24568345323741006,0.45542994312836493,0.5345647108222032,0.5836429482027383,0.9174190706892755,0.15171035095513105,0.5217282404508453,0.6455576559546313,0.6160971924344188,0.8278337753803378,0.5362158575693907
1024,forest,360136,104722.5524,0.5965940506469092,0.7261672421558325,0.23425692695214106,0.4802120845539868,0.5284405287608698,0.5665855047211632,0.9063144088439198,0.15056664867781974,0.6057608015028177,0.5274102079395085,0.6686154215779816,0.8178945116576172,0.5965940506469092
1,mlp,0,0.0,0.7537321685281433,0.8485549132947977,0.34131913635019223,0.594937024822495,0.588404163591825,0.6633543162806443,0.928422619047619,0.248385708136031,0.7813400125234815,0.5453686200378072,0.7892100662299527,0.8488606316823133,0.7537321685281433
2,mlp,106093,31662.8056,0.6730067455490435,0.7868828828828829,0.29779149845642366,0.5423371906696532,0.5628416787956817,0.6381422279249964,0.9268251273344652,0.1988582302568982,0.6836568566061365,0.5926275992438563,0.7296608675424877,0.8416554958948914,0.6730067455490435
4,mlp,148709,34504.5889,0.6626119650558443,0.7783186805202355,0.29424011103400416,0.5362793957771198,0.5608788046966977,0.6359459430666905,0.9269643475250952,0.19479326186830015,0.6707576706324359,0.6011342155009451,0.721683147343587,0.8413028404339873,0.6626119650558443
8,mlp,171976,40786.9258,0.617604777175716,0.7379111717447324,0.29313164349959114,0.5155214076221618,0.5607736669800162,0.6436684212956003,0.934536379343444,0.18701095461658843,0.6096430807764559,0.6776937618147448,0.6858734916735879,0.8470784672168252,0.617604777175716
16,mlp,205556,47661.1028,0.5791219727966382,0.7056913083823074,0.2615444315095072,0.4836178699459073,0.5434639897760006,0.6042487509070054,0.9223771983020013,0.16455078125,0.5714464621164683,0.6370510396975425,0.6537276463529562,0.8337141053858211,0.5791219727966382
32,mlp,228506,52677.2274,0.5995797854694238,0.7249943039416724,0.26387477129497866,0.49443453761832556,0.5445820564500611,0.6055836617097512,0.9210729448089541,0.16809116809116809,0.5977457733249844,0.6134215500945179,0.6710448993701583,0.8329766582041307,0.5995797854694238
64,mlp,254101,63777.3726,0.5525821077076192,0.6808141369517198,0.2521256931608133,0.46646991505626656,0.5382780367129798,0.5925003521489371,0.9198465146024302,0.1567095588235294,0.5403882279273639,0.6446124763705104,0.6306590586004228,0.8305621068600795,0.5525821077076192
128,mlp,293020,74993.6829,0.5306867190091784,0.6577419354838709,0.25360534646500177,0.45567364097443636,0.5397300737741905,0.5960910284287766,0.923669309173273,0.15579083837510804,0.5107075767063244,0.6814744801512287,0.610459339975526,0.8338301604278943,0.5306867190091784
256,mlp,317096,78544.4274,0.5481587968594493,0.6770981507823614,0.24779086892488955,0.46244450985362545,0.5357024848344003,0.5863059043835737,0.9175412293853074,0.15386374028349337,0.5365059486537257,0.6361058601134215,0.6268706704986938,0.8281935810971596,0.5481587968594493
512,mlp,340180,88759.1683,0.5362158575693907,0.6651764330193198,0.24568345323741006,0.45542994312836493,0.5345647108222032,0.5836429482027383,0.9174190706892755,0.15171035095513105,0.5217282404508453,0.6455576559546313,0.6160971924344188,0.8278337753803378,0.5362158575693907
1024,mlp,360136,104722.5524,0.5965940506469092,0.7261672421558325,0.23425692695214106,0.4802120845539868,0.5284405287608698,0.5665855047211632,0.9063144088439198,0.15056664867781974,0.6057608015028177,0.5274102079395085,0.6686154215779816,0.8178945116576172,0.5965940506469092
1,svm,0,0.0,0.726197058498286,0.8277445387505218,0.3329741379310345,0.5803593383407781,0.5819938494041721,0.6645714495397206,0.931131632493348,0.23285606631499622,0.7450219160926738,0.5841209829867675,0.7698580979601848,0.8494357849851433,0.726197058498286
2,svm,106093,31662.8056,0.6753289837443326,0.7883811445869973,0.3029439696106363,0.5456625570988167,0.5654817032023313,0.6439668897140551,0.9286805909322465,0.20228281547241597,0.684909204758923,0.6030245746691871,0.7315866592253928,0.8436945413428955,0.6753289837443326
4,svm,148709,34504.5889,0.6560875815547937,0.7726275771311595,0.294464609800363,0.5335460934657612,0.5609443647737075,0.6375811570134455,0.9281573862638328,0.1937313432835821,0.6617407639323732,0.6134215500945179,0.7166841491276228,0.8422320568960229,0.6560875815547937
8,svm,171976,40786.9258,0.643149397323897,0.7612989126414675,0.29340924020144515,0.5273540764214564,0.5604127771810481,0.6388643403924892,0.9298879653053849,0.19093758905671132,0.6444583594239198,0.6332703213610587,0.7065574249226194,0.8434333044548821,0.643149397323897
16,svm,205556,47661.1028,0.5688377750746434,0.6967410749008323,0.2543507362784471,0.4755459055896397,0.5393845819067381,0.5947355805367578,0.9193349753694581,0.15943418844401822,0.560926737633062,0.6285444234404537,0.6449829218252507,0.8304291882891621,0.5688377750746434
32,svm,228506,52677.2274,0.571823509897158,0.69984496124031,0.2533744697261859,0.47660971548324793,0.5387849990536799,0.5931464714676502,0.9184130213631739,0.15915697674418605,0.5653099561678147,0.6209829867674859,0.6476094442634281,0.8295826669225139,0.571823509897158
64,svm,254101,63777.3726,0.559217073979874,0.688301532686894,0.24764061910154775,0.4679710758942209,0.5355096460938329,0.5855981146123461,0.9163023110555902,0.15471698113207547,0.5511584220413275,0.6200378071833649,0.636745716412063,0.827199438219244,0.559217073979874
128,svm,293020,74993.6829,0.5453942275793432,0.6741697709439645,0.24830864874748582,0.46123920984572514,0.5360556206829449,0.5872003034991176,0.9181778929188256,0.15393334844706416,0.5326236693800876,0.6417769376181475,0.6243454795269707,0.8287639010962973,0.5453942275793432
256,svm,317096,78544.4274,0.5147627999557669,0.643368010403121,0.2410930473884469,0.44223052889578396,0.5319801454259863,0.5772347845026059,0.9164158369993054,0.14754445385266723,0.49567939887288665,0.6587901701323251,0.5963032187554901,0.8264605209129244,0.5147627999557669
512,svm,340180,88759.1683,0.5220612628552471,0.6511702986279257,0.24122191011235955,0.4461961043701427,0.5319508585004985,0.5772678095625896,0.91577752553916,0.148124191461837,0.5051972448340639,0.6493383742911153,0.603207742501699,0.8259647170183364,0.5220612628552471
1024,svm,360136,104722.5524,0.5741457480924472,0.7056485515554537,0.23026184289426344,0.46795519722485857,0.5257303617164414,0.5612536738899614,0.9054531188701451,0.14600760456273765,0.5780839073262367,0.5444234404536862,0.6500299362990632,0.8166005971254545,0.5741457480924472
1,xgb,0,0.0,0.8699546610638063,0.9282926829268293,0.302491103202847,0.6153918930648381,0.6553130594063528,0.5971541039259576,0.9045751633986928,0.40605095541401276,0.9532874139010645,0.24102079395085066,0.8550760433881835,0.8462495400383266,0.8699546610638063
2,xgb,106093,31662.8056,0.7762910538538096,0.8664245625619016,0.31213872832369943,0.5892816454428005,0.5800503698187547,0.6277515260773686,0.916340782122905,0.24375995751460436,0.821665623043206,0.43383742911153117,0.8015750200844032,0.8376511312951287,0.7762910538538096
4,xgb,148709,34504.5889,0.723985403074201,0.8277670438862821,0.3055091819699499,0.566638112928116,0.5691295990874181,0.6350310068618735,0.921776548332565,0.21648264984227128,0.7511584220413274,0.5189035916824196,0.7666646643764425,0.8392595800031687,0.723985403074201
8,xgb,171976,40786.9258,0.6885989162888422,0.7995158764060942,0.30297029702970296,0.5512430867178986,0.5658230856845412,0.6408216966358236,0.9264147830391024,0.2052313883299799,0.7031934877896056,0.5784499054820416,0.7414217458100285,0.8420387981223434,0.6885989162888422
16,xgb,205556,47661.1028,0.6296582992369789,0.7515025599168954,0.27337817313950963,0.5124403665282025,0.5497416379740184,0.614826121283645,0.922068463219228,0.1774148127288088,0.6341891045710708,0.5954631379962193,0.6955636457058509,0.8349465388336409,0.6296582992369789
32,xgb,228506,52677.2274,0.5946035607652328,0.7203234665852914,0.2635596625150663,0.4919415645501789,0.5444386460420592,0.6056356850569298,0.9215303533086082,0.1673469387755102,0.5912335629304947,0.6200378071833649,0.6668836673254995,0.8332934791986871,0.5946035607652328
64,xgb,254101,63777.3726,0.5730399203804047,0.7000233082122601,0.25963566634707574,0.4798294872796679,0.5424399670682566,0.6020347106401062,0.9220221039705281,0.1628578301659851,0.5641828428303068,0.6398865784499055,0.6484994637918946,0.8332024864005616,0.5730399203804047
128,xgb,293020,74993.6829,0.5682848612186221,0.6959975081762966,0.2555301296720061,0.4757638189241513,0.5400863157395638,0.596472355420667,0.9201152975087502,0.16005733397037744,0.5596743894802755,0.6332703213610587,0.6444643348424981,0.831191121303553,0.5682848612186221
256,xgb,317096,78544.4274,0.5567842530133805,0.6856470588235294,0.24887556221889057,0.46726131052121,0.5362632311437958,0.5875003107196504,0.9173137460650577,0.15521271622253388,0.547401377582968,0.6275992438563327,0.6345462910022635,0.8281505381060408,0.5567842530133805
512,xgb,340180,88759.1683,0.5362158575693907,0.6651764330193198,0.24568345323741006,0.45542994312836493,0.5345647108222032,0.5836429482027383,0.9174190706892755,0.15171035095513105,0.5217282404508453,0.6455576559546313,0.6160971924344188,0.8278337753803378,0.5362158575693907
1024,xgb,360136,104722.5524,0.5965940506469092,0.7261672421558325,0.23425692695214106,0.4802120845539868,0.5284405287608698,0.5665855047211632,0.9063144088439198,0.15056664867781974,0.6057608015028177,0.5274102079395085,0.6686154215779816,0.8178945116576172,0.5965940506469092
