-8019,[-8000,<-8000,<-8000,<-8000,"[-10000,0[",<0,*
-1445,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1415,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1414,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1400,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1386,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1385,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1379,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1361,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1350,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1336,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1329,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1322,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1317,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1313,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1312,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1310,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1300,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1272,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1270,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1249,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1246,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1232,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1224,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1217,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1212,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1206,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1202,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1196,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1193,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1185,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1176,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1168,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1164,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1161,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1157,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1148,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1139,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1137,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1136,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1129,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1124,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1122,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1112,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1110,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1105,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1099,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1092,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1091,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1089,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1085,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1083,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1080,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1076,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1053,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1050,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1049,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1042,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1041,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1040,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1038,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1036,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1034,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1027,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1026,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1019,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1014,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1013,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1011,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1007,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1006,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1002,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-1001,"[-1500,-1000[","[-2000,-1000[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-999,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-998,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-997,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-995,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-994,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-988,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-985,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-983,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-982,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-980,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-978,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-976,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-974,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-972,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-971,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-970,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-969,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-967,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-966,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-962,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-961,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-954,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-948,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-947,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-946,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-942,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-940,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-939,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-938,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-934,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-933,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-932,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-931,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-930,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-923,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-921,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-918,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-910,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-905,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-901,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-898,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-896,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-895,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-892,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-890,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-888,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-887,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-886,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-880,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-879,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-876,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-874,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-872,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-871,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-870,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-869,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-868,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-867,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-865,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-864,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-861,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-859,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-854,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-853,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-852,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-849,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-848,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-847,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-846,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-839,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-838,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-835,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-834,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-832,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-825,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-824,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-820,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-817,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-816,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-813,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-812,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-811,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-810,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-808,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-806,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-805,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-804,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-803,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-800,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-799,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-797,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-796,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-790,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-786,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-782,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-780,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-779,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-777,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-771,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-770,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-769,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-768,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-767,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-762,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-759,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-757,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-755,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-754,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-753,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-752,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-750,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-749,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-747,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-745,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-744,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-742,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-741,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-740,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-738,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-736,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-735,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-732,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-731,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-728,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-725,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-723,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-722,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-720,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-718,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-717,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-715,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-714,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-713,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-711,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-710,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-709,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-708,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-706,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-705,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-704,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-703,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
-701,"[-1000,-500[","[-1000,0[","[-2000,0[","[-4000,0[","[-10000,0[",<0,*
